row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
I.,I.,I.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,655.106.054.431,1.836.696.316.688,,1.0,655106054431.0,1836696316688.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khẩu hao tài sản cố định và bắt động sản đầu tư,02,1.906.127.430.872,2.014.211.539.980,,2.0,1906127430872.0,2014211539980.0
,,,Các khoản dự phòng,03,(259.050.178.863),190.484.121.744,,3.0,-259050178863.0,190484121744.0
,,,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,122.697.627.971,143.868.421.549,,4.0,122697627971.0,143868421549.0
,,,(Lãi) từ hoạt động đầu tư,05,(133.047.575.498),(223.656.772.320),,5.0,-133047575498.0,-223656772320.0
,,,Chi phí lãi vay,06,661.190.866.665,645.970.976.077,,6.0,661190866665.0,645970976077.0
,,,Các khoản điều chỉnh khác,07,(35.729.056.847),(466.632.414),,7.0,-35729056847.0,-466632414.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.917.295.168.731,4.607.107.971.304,,8.0,2917295168731.0,4607107971304.0
,,,Thay đổi các khoản phải thu,09,1.786.558.328.746,(2.987.956.205.115),,9.0,1786558328746.0,-2987956205115.0
,,,Thay đổi hàng tồn kho,10,(408.246.861.610),(215.449.459.061),,10.0,-408246861610.0,-215449459061.0
,,,"Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(1.108.562.414.571),1.750.835.806.960,,11.0,-1108562414571.0,1750835806960.0
,,,Thay đổi chi phí trả trước,12,46.639.033.733,82.644.252.000,,12.0,46639033733.0,82644252000.0
,,,Tiền lãi vay đã trả,14,(684.950.702.336),(633.537.152.454),,14.0,-684950702336.0,-633537152454.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(56.060.259.658),(39.843.385.382),,15.0,-56060259658.0,-39843385382.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,-,15.000.000,,16.0,,15000000.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(25.116.323.272),(35.322.724.119),,17.0,-25116323272.0,-35322724119.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.467.555.969.763,2.528.494.104.133,,20.0,2467555969763.0,2528494104133.0
II.,II.,II.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(154.905.148.181),(64.239.882.249),,21.0,-154905148181.0,-64239882249.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,-,289.441.817,,22.0,,289441817.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(173.334.184.152),(120.000.000.000),,23.0,-173334184152.0,-120000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,124.987.209.584,1.059.423.123.654,,24.0,124987209584.0,1059423123654.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,124.327.590.987,,26.0,,124327590987.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,531.339.078.058,227.274.206.499,,27.0,531339078058.0,227274206499.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,328.086.955.309,1.227.074.480.708,,30.0,328086955309.0,1227074480708.0
