row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu %,Tỷ lệ quyền biểu quyết nằm giữ %,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu %,numeric__Tỷ lệ quyền biểu quyết nằm giữ %,numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cố phăn Thủy điện Hùa Na,Công ty con > Công ty Cố phăn Thủy điện Hùa Na,Công ty Cố phăn Thủy điện Hùa Na,Nghệ An,"84,14%","84,14%",Sản xuất điện,,0.8414,0.8414,
Công ty Cố phăn Điện lực Dầu khí Nhơn Trạch 2,Công ty con > Công ty Cố phăn Điện lực Dầu khí Nhơn Trạch 2,Công ty Cố phăn Điện lực Dầu khí Nhơn Trạch 2,Đồng Nai,"59,37%","59,37%",Sản xuất điện,,0.5937,0.5937,
Công ty Cố phăn Thủy điện Đakdrinh,Công ty con > Công ty Cố phăn Thủy điện Đakdrinh,Công ty Cố phăn Thủy điện Đakdrinh,Quảng Ngãi,"94,83%","94,83%",Sản xuất điện,,0.9483,0.9483,
Công ty Cố phăn Máy - Thiết bị Dầu khí,Công ty con > Công ty Cố phăn Máy - Thiết bị Dầu khí,Công ty Cố phăn Máy - Thiết bị Dầu khí,Hà Nội,"51,58%","51,58%",Thương mại,,0.5158,0.5158,
Công ty Cố phăn Điện lực Dầu khí Bắc Kạn,Công ty con > Công ty Cố phăn Điện lực Dầu khí Bắc Kạn,Công ty Cố phăn Điện lực Dầu khí Bắc Kạn,Bắc Kạn,"94,23%","94,23%",Sản xuất điện,,0.9423,0.9423,
Công ty Cố phăn Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty con > Công ty Cố phăn Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phăn Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Hà Nội,"51,00%","51,00%",Dịch vụ,,0.51,0.51,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cố phăn Thủy điện Nậm Chiễn,Công ty liên kết > Công ty Cố phăn Thủy điện Nậm Chiễn,Công ty Cố phăn Thủy điện Nậm Chiễn,Sơn La,"30,72%","30,72%",Sản xuất điện,,0.3072,0.3072,
Công ty Cố phăn Thủy điện Sông Hồng,Công ty liên kết > Công ty Cố phăn Thủy điện Sông Hồng,Công ty Cố phăn Thủy điện Sông Hồng,Yên Bái,"44,07%","44,07%",Sản xuất điện,,0.4407,0.4407,
Công ty Cố phăn Máy - Thiết bị Dầu khí Miền Bắc Việt Nam,Công ty liên kết > Công ty Cố phăn Máy - Thiết bị Dầu khí Miền Bắc Việt Nam,Công ty Cố phăn Máy - Thiết bị Dầu khí Miền Bắc Việt Nam,Hà Nội,"34,58%","34,58%",Thương mại,,0.3458,0.3458,
