row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Số đầu kỳ,Số đầu kỳ,Số đầu kỳ,373.391.066.778,290.490.453.714,373391066778.0,290490453714.0
Phát sinh trong kỳ,Phát sinh trong kỳ,Phát sinh trong kỳ,299.635.481.103,148.641.698.898,299635481103.0,148641698898.0
Kết chuyển sang tài sản cổ định hữu hình,Kết chuyển sang tài sản cổ định hữu hình,Kết chuyển sang tài sản cổ định hữu hình,(105.113.411.391),(48.938.689.183),-105113411391.0,-48938689183.0
Ghi nhận vào chi phí,Ghi nhận vào chi phí,Ghi nhận vào chi phí,(190.374.247.862),(16.325.462.666),-190374247862.0,-16325462666.0
Giảm khác,Giảm khác,Giảm khác,-,(476.933.985),,-476933985.0
Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,377.538.888.628,373.391.066.778,377538888628.0,373391066778.0
