row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/7/2018,NGUYÊN GIÁ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,55.819.637.569,40.825.104.332,96.644.741.901,55819637569.0,40825104332.0,96644741901.0
Tăng trong kỳ,NGUYÊN GIÁ > Tăng trong kỳ,Tăng trong kỳ,-,3.654.058.353,3.654.058.353,,3654058353.0,3654058353.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.556.288.210),-,(1.556.288.210),-1556288210.0,,-1556288210.0
Tại ngày 31/12/2018,NGUYÊN GIÁ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,54.263.349.359,44.479.162.685,98.742.512.044,54263349359.0,44479162685.0,98742512044.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/7/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,799.510.014,31.217.767.391,32.017.277.405,799510014.0,31217767391.0,32017277405.0
Khẩu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong kỳ,Khẩu hao trong kỳ,71.147.750,2.692.219.470,2.763.367.220,71147750.0,2692219470.0,2763367220.0
Tại ngày 31/12/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,870.657.764,33.909.986.861,34.780.644.625,870657764.0,33909986861.0,34780644625.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/7/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 01/7/2018,Tại ngày 01/7/2018,55.020.127.555,9.607.336.941,64.627.464.496,55020127555.0,9607336941.0,64627464496.0
Tại ngày 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2018,Tại ngày 31/12/2018,53.392.691.595,10.569.175.824,63.961.867.419,53392691595.0,10569175824.0,63961867419.0
