row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,661.190.866.665,645.970.976.077,661190866665.0,645970976077.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,139.235.745.484,31.100.555.479,139235745484.0,31100555479.0
Chênh lệch tỷ giá chuyển sang công ty cổ phần,Chênh lệch tỷ giá chuyển sang công ty cổ phần,Chênh lệch tỷ giá chuyển sang công ty cổ phần,85.859.153.505,-,85859153505.0,
Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,26.902.292.501,33.002.352.115,26902292501.0,33002352115.0
Phí bảo hiểm khoản vay,Phí bảo hiểm khoản vay,Phí bảo hiểm khoản vay,44.143.260.446,31.929.150.264,44143260446.0,31929150264.0
Lỗ chênh lệch tỷ giá trong thanh toán,Lỗ chênh lệch tỷ giá trong thanh toán,Lỗ chênh lệch tỷ giá trong thanh toán,46.990.293.706,16.879.145.480,46990293706.0,16879145480.0
Dự phòng/(hoàn nhập) giảm giá đầu tư tài chính dài hạn,Dự phòng/(hoàn nhập) giảm giá đầu tư tài chính dài hạn,Dự phòng/(hoàn nhập) giảm giá đầu tư tài chính dài hạn,21.024.399.291,(20.294.824.800),21024399291.0,-20294824800.0
Chi phí hoạt động tài chính khác,Chi phí hoạt động tài chính khác,Chi phí hoạt động tài chính khác,6.476.765.870,8.719.910.014,6476765870.0,8719910014.0
,,,1.031.822.777.468,747.307.264.629,1031822777468.0,747307264629.0
