row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiěn trúc,Máy mócvà thiēt bì,Phuǒng tiēnvàn tāi,Thiēt bìvǎn phòng,Khác,Tǒng,numeric__Nhà xuǒngvà vǎt kiěn trúc,numeric__Máy mócvà thiēt bì,numeric__Phuǒng tiēnvàn tāi,numeric__Thiēt bìvǎn phòng,numeric__Khác,numeric__Tǒng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tái ngày 01/7/2018,NGUYÊN GIÁ > Tái ngày 01/7/2018,Tái ngày 01/7/2018,17.890.170.472.520,48.707.670.006.761,316.648.644.750,128.602.337.009,2.125.266.355.439,69.168.357.816.479,17890170472520.0,48707670006761.0,316648644750.0,128602337009.0,2125266355439.0,69168357816479.0
Tăng trong kỳ,NGUYÊN GIÁ > Tăng trong kỳ,Tăng trong kỳ,1.474.417.288,2.958.327.335,5.659.426.906,10.504.438.814,-,20.596.610.343,1474417288.0,2958327335.0,5659426906.0,10504438814.0,,20596610343.0
Đầu tư xây dựng cơbàn hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbàn hoàn thành,Đầu tư xây dựng cơbàn hoàn thành,104.428.411.391,-,-,685.000.000,-,105.113.411.391,104428411391.0,,,685000000.0,,105113411391.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(268.210.400),-,-,-,(268.210.400),,-268210400.0,,,,-268210400.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(2.155.120.000),-,-,2.246.750.000,(91.630.000),-,-2155120000.0,,,2246750000.0,-91630000.0,
Tái ngày 31/12/2018,NGUYÊN GIÁ > Tái ngày 31/12/2018,Tái ngày 31/12/2018,17.993.918.181.199,48.710.360.123.696,322.308.071.656,142.038.525.823,2.125.174.725.439,69.293.799.627.813,17993918181199.0,48710360123696.0,322308071656.0,142038525823.0,2125174725439.0,69293799627813.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tái ngày 01/7/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Tái ngày 01/7/2018,Tái ngày 01/7/2018,4.237.557.158.852,22.478.355.728.743,244.142.008.774,96.176.610.229,221.216.978.685,27.277.448.485.283,4237557158852.0,22478355728743.0,244142008774.0,96176610229.0,221216978685.0,27277448485283.0
Khấu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong kỳ,Khấu hao trong kỳ,391.212.253.239,1.452.015.182.445,7.859.492.780,7.407.979.544,44.697.653.572,1.903.192.561.580,391212253239.0,1452015182445.0,7859492780.0,7407979544.0,44697653572.0,1903192561580.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(119.128.113),-,-,-,(119.128.113),,-119128113.0,,,,-119128113.0
