row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,15.251.081.151.956,19.565.210.250.858,,100.0,,15251081151956.0,19565210250858.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,3.185.329.931.901,5.781.844.937.864,,110.0,4.0,3185329931901.0,5781844937864.0
1.,1.,1.,Tiền,111,,173.809.128.318,378.796.386.770,,111.0,,173809128318.0,378796386770.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.011.520.803.583,5.403.048.551.094,,112.0,,3011520803583.0,5403048551094.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,176.038.035.938,159.025.245.522,,120.0,5.0,176038035938.0,159025245522.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,176.038.035.938,159.025.245.522,,123.0,,176038035938.0,159025245522.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.530.962.791.986,9.732.881.206.832,,130.0,,7530962791986.0,9732881206832.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,7.320.055.298.911,9.510.190.471.103,,131.0,6.0,7320055298911.0,9510190471103.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,7,115.357.557.465,126.272.004.861,,132.0,7.0,115357557465.0,126272004861.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,343.075.281.114,330.823.676.262,,136.0,8.0,343075281114.0,330823676262.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(247.525.345.504),(234.404.945.394),,137.0,9.0,-247525345504.0,-234404945394.0
IV.,IV.,IV.,Hàng tồn kho,140,10,4.186.613.364.909,3.749.030.391.823,,140.0,10.0,4186613364909.0,3749030391823.0
1.,1.,1.,Hàng tồn kho,141,,4.186.795.764.909,3.749.212.791.823,,141.0,,4186795764909.0,3749212791823.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(182.400.000),(182.400.000),,149.0,,-182400000.0,-182400000.0
