row_label_raw,row_label_full,CHÌ TIÊU,CHÌ TIÊU_1,Mã số,Từ ngày 01/01/2018đến ngày 30/6/2018(Trước điều chỉnh),Điều chỉnh hỏi tố,Từ ngày 01/01/2018đến ngày 30/6/2018(Sau điều chỉnh),numeric__CHÌ TIÊU_1,numeric__Mã số,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trước điều chỉnh),numeric__Điều chỉnh hỏi tố,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Sau điều chỉnh)
1.,1.,1.,Lợi nhuận trước thuế,01,1.446.786.619.438,389.909.697.250,1.836.696.316.688,,1.0,1446786619438.0,389909697250.0,1836696316688.0
2.,2.,2.,Khẩu hao tài sản cố định và bất động sản đầu tư,02,2.010.926.198.063,3.285.341.917,2.014.211.539.980,,2.0,2010926198063.0,3285341917.0,2014211539980.0
3.,3.,3.,Các khoản dự phòng,03,492.132.207.273,(301.648.085.529),190.484.121.744,,3.0,492132207273.0,-301648085529.0,190484121744.0
4.,4.,4.,Thay đổi các khoản phải thu,09,(3.037.538.910.204),49.582.705.089,(2.987.956.205.115),,9.0,-3037538910204.0,49582705089.0,-2987956205115.0
5.,5.,5.,Thay đổi hàng tôn kho,10,(215.732.678.879),283.219.818,(215.449.459.061),,10.0,-215732678879.0,283219818.0,-215449459061.0
6.,6.,6.,"Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.882.894.289.518,(132.058.482.558),1.750.835.806.960,,11.0,1882894289518.0,-132058482558.0,1750835806960.0
7.,7.,7.,Thay đổi chi phí trả trước,12,82.301.364.010,342.887.990,82.644.252.000,,12.0,82301364010.0,342887990.0,82644252000.0
8.,8.,8.,Tiền thu khác từ hoạt động kinh doanh,16,,15.000.000,15.000.000,,16.0,,15000000.0,15000000.0
9.,9.,9.,Tiền chi khác cho hoạt động kinh doanh,17,(26.652.994.233),(8.669.729.886),(35.322.724.119),,17.0,-26652994233.0,-8669729886.0,-35322724119.0
