row_label_raw,row_label_full,Chỉ tiêu,Mã số,30/6/2018(Trước điều chỉnh),Điều chỉnh hồi tố,30/6/2018(Sau điều chỉnh),numeric__Mã số,numeric__30/6/2018(Trước điều chỉnh),numeric__Điều chỉnh hồi tố,numeric__30/6/2018(Sau điều chỉnh)
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
1. Phải thu ngắn hạn của khách hàng,TÀI SẢN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,9.502.784.880.366,7.405.590.737,9.510.190.471.103,131.0,9502784880366.0,7405590737.0,9510190471103.0
2. Phải thu ngắn hạn khác,TÀI SẢN > 2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,136,321.320.766.551,9.502.909.711,330.823.676.262,136.0,321320766551.0,9502909711.0,330823676262.0
3. Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > 3. Dự phòng phải thu ngắn hạn khó đòi,3. Dự phòng phải thu ngắn hạn khó đòi,137,(251.439.951.008),17.035.005.614,(234.404.945.394),137.0,-251439951008.0,17035005614.0,-234404945394.0
4. Hàng tồn kho,TÀI SẢN > 4. Hàng tồn kho,4. Hàng tồn kho,141,3.748.714.302.767,498.489.056,3.749.212.791.823,141.0,3748714302767.0,498489056.0,3749212791823.0
5. Chỉ phí trả trước ngắn hạn,TÀI SẢN > 5. Chỉ phí trả trước ngắn hạn,5. Chỉ phí trả trước ngắn hạn,151,32.303.835.617,(42.376.165),32.261.459.452,151.0,32303835617.0,-42376165.0,32261459452.0
6. Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > 6. Thuế giá trị gia tăng được khấu trừ,6. Thuế giá trị gia tăng được khấu trừ,152,109.164.213.683,(260.099.038),108.904.114.645,152.0,109164213683.0,-260099038.0,108904114645.0
7. Tài sản cố định hữu hình,TÀI SẢN > 7. Tài sản cố định hữu hình,7. Tài sản cố định hữu hình,221,41.963.928.913.954,(73.019.582.758),41.890.909.331.196,221.0,41963928913954.0,-73019582758.0,41890909331196.0
- Nguyên giá,TÀI SẢN > - Nguyên giá,- Nguyên giá,222,69.247.969.570.739,(79.611.754.260),69.168.357.816.479,222.0,69247969570739.0,-79611754260.0,69168357816479.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(27.284.040.656.785),6.592.171.502,(27.277.448.485.283),223.0,-27284040656785.0,6592171502.0,-27277448485283.0
8. Tài sản cố định vô hình,TÀI SẢN > 8. Tài sản cố định vô hình,8. Tài sản cố định vô hình,227,64.278.025.807,349.438.689,64.627.464.496,227.0,64278025807.0,349438689.0,64627464496.0
- Nguyên giá,TÀI SẢN > - Nguyên giá,- Nguyên giá,228,96.154.741.901,490.000.000,96.644.741.901,228.0,96154741901.0,490000000.0,96644741901.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(31.876.716.094),(140.561.311),(32.017.277.405),229.0,-31876716094.0,-140561311.0,-32017277405.0
