row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Bán hàng,Bán hàng,Bán hàng,107.977.891.469,121.306.578.536,107977891469.0,121306578536.0
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,107.580.232.718,120.983.942.172,107580232718.0,120983942172.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,328.522.389,322.636.364,328522389.0,322636364.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,69.136.362,-,69136362.0,
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,8.223.368.196.607,8.032.002.601.349,8223368196607.0,8032002601349.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,4.690.411.088.690,4.488.624.289.080,4690411088690.0,4488624289080.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,3.487.510.646.634,3.473.215.987.555,3487510646634.0,3473215987555.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,23.349.417.626,45.968.212.603,23349417626.0,45968212603.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,10.481.560.451,7.212.385.940,10481560451.0,7212385940.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,4.923.552.211,6.565.770.726,4923552211.0,6565770726.0
Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí,4.181.541.350,8.657.419.140,4181541350.0,8657419140.0
Ban Quản lý dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,1.546.205.745,-,1546205745.0,
Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,964.183.900,1.605.511.173,964183900.0,1605511173.0
Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,-,153.025.132,,153025132.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,83.021.642.146,83.434.349.048,83021642146.0,83434349048.0
Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,83.021.642.146,83.434.349.048,83021642146.0,83434349048.0
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,2.008.428.771,5.645.218.929,2008428771.0,5645218929.0
