row_label_raw,row_label_full,col_0,01/7/2018,Số phải nộp /bù trừ trong kỳ,Số đã nộp trong kỳ,31/12/2018,numeric__01/7/2018,numeric__Số phải nộp /bù trừ trong kỳ,numeric__Số đã nộp trong kỳ,numeric__31/12/2018
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh,a. Các khoản phải thu > Thuế thu nhập doanh,Thuế thu nhập doanh,865.272.122,574.399.621,-,290.872.501,865272122.0,574399621.0,,290872501.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,181.622.598,181.198.382,-,424.216,181622598.0,181198382.0,,424216.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,216.000.000,80.000.000,-,136.000.000,216000000.0,80000000.0,,136000000.0
,,,1.262.894.720,835.598.003,-,427.296.717,1262894720.0,835598003.0,,427296717.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,168.491.007.633,419.066.824.920,427.871.520.892,159.686.311.661,168491007633.0,419066824920.0,427871520892.0,159686311661.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,13.509.331.247,13.509.331.247,-,,13509331247.0,13509331247.0,
Thuế thu nhập doanh,b. Các khoản phải trả > Thuế thu nhập doanh,Thuế thu nhập doanh,64.065.651.095,79.086.585.429,56.060.259.658,87.091.976.866,64065651095.0,79086585429.0,56060259658.0,87091976866.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,13.160.061.050,87.890.145.885,94.730.280.814,6.319.926.121,13160061050.0,87890145885.0,94730280814.0,6319926121.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.581.307.623,22.943.413.042,20.759.296.943,9.765.423.722,7581307623.0,22943413042.0,20759296943.0,9765423722.0
Các khoản phải nộp khác,b. Các khoản phải trả > Các khoản phải nộp khác,Các khoản phải nộp khác,21.335.267.995,61.565.050.805,47.222.853.783,35.677.465.017,21335267995.0,61565050805.0,47222853783.0,35677465017.0
,,,274.633.295.396,684.061.351.328,660.153.543.337,298.541.103.387,274633295396.0,684061351328.0,660153543337.0,298541103387.0
