row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
C.,C.,C.,NỘ PHẢI TRẢ,300,,31.296.044.641.920,37.991.812.174.424,,300.0,,31296044641920.0,37991812174424.0
I.,I.,I.,Nợ ngắn hạn,310,,17.570.678.653.190,21.628.066.661.893,,310.0,,17570678653190.0,21628066661893.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,5.900.467.676.009,6.708.411.072.902,,311.0,17.0,5900467676009.0,6708411072902.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,16.462.104.003,7.272.414.513,,312.0,,16462104003.0,7272414513.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,298.541.103.387,274.633.295.396,,313.0,18.0,298541103387.0,274633295396.0
4.,4.,4.,Phải trả người lao động,314,,139.706.914.562,106.916.205.411,,314.0,,139706914562.0,106916205411.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,2.018.072.932.291,1.992.870.595.289,,315.0,19.0,2018072932291.0,1992870595289.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,617.551.080,629.344.331,,318.0,,617551080.0,629344331.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,2.403.293.790.705,2.785.811.223.378,,319.0,20.0,2403293790705.0,2785811223378.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,6.554.398.505.035,9.062.568.725.977,,320.0,21.0,6554398505035.0,9062568725977.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,143.181.837.310,557.288.489.041,,321.0,22.0,143181837310.0,557288489041.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,95.936.238.808,131.665.295.655,,322.0,,95936238808.0,131665295655.0
II.,II.,II.,Nợ dài hạn,330,,13.725.365.988.730,16.363.745.512.531,,330.0,,13725365988730.0,16363745512531.0
1.,1.,1.,Phải trả dài hạn khác,337,20,759.840.195,766.020.195,,337.0,20.0,759840195.0,766020195.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,13.303.846.087.570,16.062.760.612.395,,338.0,21.0,13303846087570.0,16062760612395.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,22,251.593.468.605,130.588.045.495,,342.0,22.0,251593468605.0,130588045495.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,23,169.166.592.360,169.630.834.446,,343.0,23.0,169166592360.0,169630834446.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,26.815.384.955.765,26.282.749.316.144,,400.0,,26815384955765.0,26282749316144.0
I.,I.,I.,Vốn chủ sở hữu,410,24,26.815.384.955.765,26.282.749.316.144,,410.0,24.0,26815384955765.0,26282749316144.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
2.,2.,2.,Thăng dư vốn cổ phần,412,,(311.254.328),(311.254.328),,412.0,,-311254328.0,-311254328.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,227.887.397.807,227.887.397.807,,414.0,,227887397807.0,227887397807.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,416,,(191.305.728.000),(191.305.728.000),,416.0,,-191305728000.0,-191305728000.0
5.,5.,5.,Chênh lệch tỷ giá hối đoái,417,,-,(85.859.153.505),,417.0,,,-85859153505.0
6.,6.,6.,Quỹ đầu tư phát triển,418,,192.215.107.853,100.859.785.533,,418.0,,192215107853.0,100859785533.0
7.,7.,7.,Lợi nhuận sau thuế chưa phân phối,421,,859.274.196.129,542.515.585.296,,421.0,,859274196129.0,542515585296.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,421a,,542.515.585.296,1.226.129.949.212,,,,542515585296.0,1226129949212.0
,,,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,316.758.610.833,(683.614.363.916),,,,316758610833.0,-683614363916.0
8.,8.,8.,Lợi ích của cổ đông không kiểm soát TỔNG CÔNG NGUỒN VỐN (440=300+400),429,24,2.308.909.236.304,2.270.246.683.341,,429.0,24.0,2308909236304.0,2270246683341.0
,,,,440,,58.111.429.597.685,64.274.561.490.568,,440.0,,58111429597685.0,64274561490568.0
