row_label_raw,row_label_full,"Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","31/12/2018 > Giá gốc > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","31/12/2018 > VND Giá trị có thể thu hồi được > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","01/7/2018 > Giá gốc > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","01/7/2018 > VND Giá trị có thể thu hồi được > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","numeric__31/12/2018 > Giá gốc > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","numeric__31/12/2018 > VND Giá trị có thể thu hồi được > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","numeric__01/7/2018 > Giá gốc > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi","numeric__01/7/2018 > VND Giá trị có thể thu hồi được > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn những khó có khả năng thu hồi"
Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),96.856.865.496,-,96.856.865.496,-,96856865496.0,,96856865496.0,
Công ty Cổ phần Tập đoàn Vina Megastar (*),Công ty Cổ phần Tập đoàn Vina Megastar (*),Công ty Cổ phần Tập đoàn Vina Megastar (*),33.627.654.160,-,33.627.654.160,-,33627654160.0,,33627654160.0,
Công ty TNHH Thành Đức,Công ty TNHH Thành Đức,Công ty TNHH Thành Đức,20.394.119.114,-,20.394.119.114,-,20394119114.0,,20394119114.0,
Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T,Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T,Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T,15.485.149.669,2.200.000.000,15.485.149.669,700.000.000,15485149669.0,2200000000.0,15485149669.0,700000000.0
Công ty Cổ phần Xây lắp Dầu khí,Công ty Cổ phần Xây lắp Dầu khí,Công ty Cổ phần Xây lắp Dầu khí,15.381.516.087,-,15.381.516.087,-,15381516087.0,,15381516087.0,
Công ty Mua bán điện (EPTC/EVN),Công ty Mua bán điện (EPTC/EVN),Công ty Mua bán điện (EPTC/EVN),10.615.012.421,5.307.506.210,-,-,10615012421.0,5307506210.0,,
Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,8.179.082.781,312.655.746,-,-,8179082781.0,312655746.0,,
Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,7.045.317.471,399.291.000,7.045.317.471,399.291.000,7045317471.0,399291000.0,7045317471.0,399291000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,48.178.581.261,18.500.000,107.741.900.962,61.028.286.565,48178581261.0,18500000.0,107741900962.0,61028286565.0
,,,255.763.298.460,8.237.952.956,296.532.522.959,62.127.577.565,255763298460.0,8237952956.0,296532522959.0,62127577565.0
