row_label_raw,row_label_full,Chỉ tiêu,Mã số,Từ 01/01/2018 đến 30/6/2018 (Trước điều chỉnh),Điều chỉnh hồi tố,Từ ngày 01/01/2018 đến ngày 30/6/2018 (Sau điều chỉnh),numeric__Mã số,numeric__Từ 01/01/2018 đến 30/6/2018 (Trước điều chỉnh),numeric__Điều chỉnh hồi tố,numeric__Từ ngày 01/01/2018 đến ngày 30/6/2018 (Sau điều chỉnh)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,17.822.402.571.558,4.586.713.987,17.826.989.285.545,1.0,17822402571558.0,4586713987.0,17826989285545.0
2. Giá vốn hàng bán và cung cấp dịch,2. Giá vốn hàng bán và cung cấp dịch,2. Giá vốn hàng bán và cung cấp dịch,11,15.348.553.581.395,(238.019.326.229),15.110.534.255.166,11.0,15348553581395.0,-238019326229.0,15110534255166.0
3. Doanh thu hoạt động tài chính,3. Doanh thu hoạt động tài chính,3. Doanh thu hoạt động tài chính,21,272.583.416.472,(486.964.757),272.096.451.715,21.0,272583416472.0,-486964757.0,272096451715.0
4. Chi phí tài chính,4. Chi phí tài chính,4. Chi phí tài chính,22,893.018.203.936,(145.710.939.307),747.307.264.629,22.0,893018203936.0,-145710939307.0,747307264629.0
5. Chi phí quản lý doanh nghiệp,5. Chi phí quản lý doanh nghiệp,5. Chi phí quản lý doanh nghiệp,26,412.648.586.490,1.602.694.995,414.251.281.485,26.0,412648586490.0,1602694995.0,414251281485.0
6. Thu nhập khác,6. Thu nhập khác,6. Thu nhập khác,31,11.490.154.414,3.741.214.632,15.231.369.046,31.0,11490154414.0,3741214632.0,15231369046.0
7. Chi phí khác,7. Chi phí khác,7. Chi phí khác,32,4.928.560.655,58.837.153,4.987.397.808,32.0,4928560655.0,58837153.0,4987397808.0
8. Chi phí thuế thu nhập doanh nghiệp hiện hành,8. Chi phí thuế thu nhập doanh nghiệp hiện hành,8. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,129.467.307.313,1.682.672.817,131.149.980.130,51.0,129467307313.0,1682672817.0,131149980130.0
9. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,9. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,9. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,(7.183.901.370),1.082.343.656,(6.101.557.714),52.0,-7183901370.0,1082343656.0,-6101557714.0
