row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân công,Chi phí nhân công,134.996.138.191,203.561.691.812,134996138191.0,203561691812.0
Chi phí khấu hao,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao,Chi phí khấu hao,17.113.279.829,16.257.410.438,17113279829.0,16257410438.0
Chi phí vật liệu quản lý,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,14.190.068.603,16.211.775.044,14190068603.0,16211775044.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,87.291.948.453,53.785.570.659,87291948453.0,53785570659.0
Các khoản dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Các khoản dự phòng,Các khoản dự phòng,13.120.400.110,25.227.363.684,13120400110.0,25227363684.0
Chi phí quản lý khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí quản lý khác,Chi phí quản lý khác,91.810.758.210,99.207.469.848,91810758210.0,99207469848.0
,,,358.522.593.396,414.251.281.485,358522593396.0,414251281485.0
Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,,
Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí nhân công,Chi phí nhân công,3.736.967.927,4.621.217.360,3736967927.0,4621217360.0
Chi phí khấu hao,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí khấu hao,Chi phí khấu hao,132.938.274,133.338.298,132938274.0,133338298.0
Chi phí vật liệu bán hàng,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí vật liệu bán hàng,Chi phí vật liệu bán hàng,24.214.702,33.740.003,24214702.0,33740003.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,6.945.446.094,4.687.743.090,6945446094.0,4687743090.0
,,,10.839.566.997,9.476.038.751,10839566997.0,9476038751.0
