row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hôi doài,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hôi doài,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,21.774.301.577.676,(311.254.328),-,227.887.397.807,-,1.618.253.058.939,1.301.734.133.681,2.833.082.846.631,27.754.947.760.406,21774301577676.0,-311254328.0,,227887397807.0,,1618253058939.0,1301734133681.0,2833082846631.0,27754947760406.0
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,-,-,-,1.489.891.609.117,221.756.285.155,1.711.647.894.272,,,,,,,1489891609117.0,221756285155.0,1711647894272.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,(201.828.416.325),(2.067.375.593.801),-,(2.269.204.010.125),,,,,,-201828416325.0,-2067375593801.0,,-2269204010125.0
Kết chuyển phải trả cổ phần hóa,Kết chuyển phải trả cổ phần hóa,Kết chuyển phải trả cổ phần hóa,-,-,-,-,-,(6.923.066.631),-,-,(6.923.066.631),,,,,,-6923066631.0,,,-6923066631.0
Kết chuyển tăng vốn điều lệ,Kết chuyển tăng vốn điều lệ,Kết chuyển tăng vốn điều lệ,1.644.414.422.324,-,-,-,(191.305.728.000),(1.308.646.206.414),(144.462.487.910),-,-,1644414422324.0,,,,-191305728000.0,-1308646206414.0,-144462487910.0,,
Chênh lệch tỷ giả do xử lý tài chính (i),Chênh lệch tỷ giả do xử lý tài chính (i),Chênh lệch tỷ giả do xử lý tài chính (i),-,-,(124.277.669.208),-,-,-,-,-,(124.277.669.208),,,-124277669208.0,,,,,,-124277669208.0
Bù trừ chênh lệch tỷ giả do xử lý tài chính (i),Bù trừ chênh lệch tỷ giả do xử lý tài chính (i),Bù trừ chênh lệch tỷ giả do xử lý tài chính (i),-,-,38.418.515.703,-,-,-,(38.418.515.703),-,-,,,38418515703.0,,,,-38418515703.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(784.322.367.961),(784.322.367.961),,,,,,,,-784322367961.0,-784322367961.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,-,-,-,4.415.964,1.146.439.912,(270.080.484),880.775.392,,,,,,4415964.0,1146439912.0,-270080484.0,880775392.0
Tại ngày 01 tháng 7 năm 2018,Tại ngày 01 tháng 7 năm 2018,Tại ngày 01 tháng 7 năm 2018,23.418.716.000.000,(311.254.328),(85.859.153.505),227.887.397.807,(191.305.728.000),100.859.785.533,542.515.585.296,2.270.246.683.341,26.282.749.316.144,23418716000000.0,-311254328.0,-85859153505.0,227887397807.0,-191305728000.0,100859785533.0,542515585296.0,2270246683341.0,26282749316144.0
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,-,-,-,431.441.727.122,143.752.525.337,575.194.252.459,,,,,,,431441727122.0,143752525337.0,575194252459.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,91.353.654.181,(105.195.662.665),-,(13.842.008.484),,,,,,91353654181.0,-105195662665.0,,-13842008484.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(105.254.954.100),(105.254.954.100),,,,,,,,-105254954100.0,-105254954100.0
Kết chuyển chênh lệch tỷ giả vào kết quả kinh doanh,Kết chuyển chênh lệch tỷ giả vào kết quả kinh doanh,Kết chuyển chênh lệch tỷ giả vào kết quả kinh doanh,-,-,85.859.153.505,-,-,-,-,-,85.859.153.505,,,85859153505.0,,,,,,85859153505.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,-,-,-,1.668.139,(9.487.453.624),164.981.726,(9.320.803.759),,,,,,1668139.0,-9487453624.0,164981726.0,-9320803759.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,23.418.716.000.000,(311.254.328),-,227.887.397.807,(191.305.728.000),192.215.107.853,859.274.196.129,2.308.909.236.304,26.815.384.955.765,23418716000000.0,-311254328.0,,227887397807.0,-191305728000.0,192215107853.0,859274196129.0,2308909236304.0,26815384955765.0
