row_label_raw,row_label_full,col_0,Nội dung,Năm 2016,Năm 2015,numeric__Nội dung,numeric__Năm 2016,numeric__Năm 2015
"Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ",,,
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL",Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Thuê tài sản,512.727.276,336.727.268,,512727276.0,336727268.0
Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai",Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Thi công hội sở,2.142.910.364,11.193.413.303,,2142910364.0,11193413303.0
Công ty CP BOT & BT Đức Long Đắk Nông,"Mua hàng, nhận dịch vụ > Công ty CP BOT & BT Đức Long Đắk Nông",Công ty CP BOT & BT Đức Long Đắk Nông,Mua vật liệu,-,1.034.477.273,,,1034477273.0
Công ty TNHH Cung ứng Vật tư NL Tây Nguyên,"Mua hàng, nhận dịch vụ > Công ty TNHH Cung ứng Vật tư NL Tây Nguyên",Công ty TNHH Cung ứng Vật tư NL Tây Nguyên,Mua đá các loại,-,8.627.000.000,,,8627000000.0
Công ty Shine Profit development Limited,"Mua hàng, nhận dịch vụ > Công ty Shine Profit development Limited",Công ty Shine Profit development Limited,Mua linh kiện điện tử,255.525.647.208,-,,255525647208.0,
Công ty TNHH KT Khoáng sản Đức Sang Gia Lai,"Mua hàng, nhận dịch vụ > Công ty TNHH KT Khoáng sản Đức Sang Gia Lai",Công ty TNHH KT Khoáng sản Đức Sang Gia Lai,Thi công nhà máy,4.367.635.455,1.411.828.182,,4367635455.0,1411828182.0
Công ty TNHH KT Khoáng sản Đức Sang Gia Lai,"Mua hàng, nhận dịch vụ > Công ty TNHH KT Khoáng sản Đức Sang Gia Lai",Công ty TNHH KT Khoáng sản Đức Sang Gia Lai,Mua đá các loại,-,10.243.841.715,,,10243841715.0
Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,,,
Công ty CP Trồng rừng & CCN Đức Long Gia Lai,Các giao dịch khác > Công ty CP Trồng rừng & CCN Đức Long Gia Lai,Công ty CP Trồng rừng & CCN Đức Long Gia Lai,Lãi cho vay,5.235.284.344,11.773.947.551,,5235284344.0,11773947551.0
Công ty CP Đầu tư & KD Bất động sản ĐLGL,Các giao dịch khác > Công ty CP Đầu tư & KD Bất động sản ĐLGL,Công ty CP Đầu tư & KD Bất động sản ĐLGL,Lãi cho vay,30.500.354,-,,30500354.0,
Công ty TNHH Đức Long Dung Quát,Các giao dịch khác > Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Lãi cho vay,2.942.745.248,7.630.118.110,,2942745248.0,7630118110.0
Công ty CP Đầu tư & PT Điện năng Đức Long Gia Lai,Các giao dịch khác > Công ty CP Đầu tư & PT Điện năng Đức Long Gia Lai,Công ty CP Đầu tư & PT Điện năng Đức Long Gia Lai,Lãi vay phải trả,31.013.958,-,,31013958.0,
Công ty CP BOT & BT Đức Long Gia Lai,Các giao dịch khác > Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Lãi vay phải trả,3.188.686.137,198.990.039,,3188686137.0,198990039.0
Công ty CP BOT & BT Đức Long Đắk Nông,Các giao dịch khác > Công ty CP BOT & BT Đức Long Đắk Nông,Công ty CP BOT & BT Đức Long Đắk Nông,Lãi vay phải trả,2.229.618.333,-,,2229618333.0,
Công ty TNHH Nông nghiệp Đức Long Gia Lai,Các giao dịch khác > Công ty TNHH Nông nghiệp Đức Long Gia Lai,Công ty TNHH Nông nghiệp Đức Long Gia Lai,Lợi nhận nhận được,-,19.984.026.510,,,19984026510.0
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Các giao dịch khác > Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Cổ tức được nhận,207.270.000,177.660.000,,207270000.0,177660000.0
