row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2016,01/01/2016,numeric__Mối quan hệ,numeric__31/12/2016,numeric__01/01/2016
Cho vay,Cho vay,Cho vay,,65.441.054.300,156.343.341.737,,65441054300.0,156343341737.0
Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty con,65.441.054.300,65.441.054.300,,65441054300.0,65441054300.0
Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Chung cổ đông lớn có ảnh hưởng đáng kể,-,90.902.287.437,,,90902287437.0
Cho mượn,Cho mượn,Cho mượn,,27.878.166.345,31.004.974.477,,27878166345.0,31004974477.0
Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty CP Trồng rừng & Cây công nghiệp ĐLGL,Công ty con,21.624.353.904,19.166.199.026,,21624353904.0,19166199026.0
Công ty CP Đầu tư & Kinh doanh Bất động sản ĐLGL,Công ty CP Đầu tư & Kinh doanh Bất động sản ĐLGL,Công ty CP Đầu tư & Kinh doanh Bất động sản ĐLGL,Công ty nhận đầu tư,6.000.069.541,6.000.069.541,,6000069541.0,6000069541.0
Công ty CP Đầu tư & Phát triển Điện năng ĐLGL,Công ty CP Đầu tư & Phát triển Điện năng ĐLGL,Công ty CP Đầu tư & Phát triển Điện năng ĐLGL,Công ty nhận đầu tư,-,2.219.749.685,,,2219749685.0
Công ty Cổ phần Đức Long Đà Nẵng,Công ty Cổ phần Đức Long Đà Nẵng,Công ty Cổ phần Đức Long Đà Nẵng,Công ty con,-,2.007.806.194,,,2007806194.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,,253.742.900,1.611.150.031,,253742900.0,1611150031.0
Cộng,Cộng,Cộng,,93.319.220.645,187.348.316.214,,93319220645.0,187348316214.0
