row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,43.505.231.270,317.684.000,43.822.915.270,43505231270.0,317684000.0,43822915270.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",14.846.040.000,-,14.846.040.000,14846040000.0,,14846040000.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,28.659.191.270,317.684.000,28.976.875.270,28659191270.0,317684000.0,28976875270.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,239.675.843,239.675.843,,239675843.0,239675843.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,20.829.864,20.829.864,,20829864.0,20829864.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,260.505.707,260.505.707,,260505707.0,260505707.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,43.505.231.270,78.008.157,43.583.239.427,43505231270.0,78008157.0,43583239427.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,28.659.191.270,57.178.293,28.716.369.563,28659191270.0,57178293.0,28716369563.0
