row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,79.370.179.360,-,79.370.179.360,79370179360.0,,79370179360.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,316.094.590.556,-,316.094.590.556,316094590556.0,,316094590556.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,347.701.143.702,-,347.701.143.702,347701143702.0,,347701143702.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,791.219.548.523,225.647.099.300,1.016.866.647.823,791219548523.0,225647099300.0,1016866647823.0
Phải thu khác,Phải thu khác,Phải thu khác,112.473.048.912,22.739.205.273,135.212.254.185,112473048912.0,22739205273.0,135212254185.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,22.596.728.474,22.596.728.474,,22596728474.0,22596728474.0
Cộng,Cộng,Cộng,1.910.858.511.053,270.983.033.047,2.181.841.544.100,1910858511053.0,270983033047.0,2181841544100.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,65.261.876.195,-,65.261.876.195,65261876195.0,,65261876195.0
Đầu tư tài chính,01/01/2016 > Đầu tư tài chính,Đầu tư tài chính,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2016 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,573.264.666.667,1.400.000.000,574.664.666.667,573264666667.0,1400000000.0,574664666667.0
Phải thu khách hàng,01/01/2016 > Phải thu khách hàng,Phải thu khách hàng,258.844.757.349,-,258.844.757.349,258844757349.0,,258844757349.0
Phải thu về cho vay,01/01/2016 > Phải thu về cho vay,Phải thu về cho vay,666.361.371.305,157.343.713.318,823.705.084.623,666361371305.0,157343713318.0,823705084623.0
Phải thu khác,01/01/2016 > Phải thu khác,Phải thu khác,89.732.762.896,28.164.989.405,117.897.752.301,89732762896.0,28164989405.0,117897752301.0
Đầu tư góp vốn vào đơn vị khác,01/01/2016 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,13.486.261.636,13.486.261.636,,13486261636.0,13486261636.0
Cộng,01/01/2016 > Cộng,Cộng,1.917.465.434.412,200.394.964.359,2.117.860.398.771,1917465434412.0,200394964359.0,2117860398771.0
