row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,75.783.417.973,146.700.918.958,222.484.336.931,75783417973.0,146700918958.0,222484336931.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,75.783.417.973,146.700.918.958,222.484.336.931,75783417973.0,146700918958.0,222484336931.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Số đầu kỳ,Khấu hao lũy kế > Số đầu kỳ,Số đầu kỳ,-,18.511.470.363,18.511.470.363,,18511470363.0,18511470363.0
Khấu hao trong kỳ,Khấu hao lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,-,5.570.266.800,5.570.266.800,,5570266800.0,5570266800.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,-,24.081.737.163,24.081.737.163,,24081737163.0,24081737163.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,75.783.417.973,128.189.448.595,203.972.866.568,75783417973.0,128189448595.0,203972866568.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,75.783.417.973,122.619.181.795,198.402.599.768,75783417973.0,122619181795.0,198402599768.0
