row_label_raw,row_label_full,col_0,col_1,"Mua tài sản, dịch vụ phải trả","Thanh toán mua tài sản, dịch vụ",Doanh thu cung cấp dịch vụ quản lý,Đơn vị tính: VND,numeric__col_1,"numeric__Mua tài sản, dịch vụ phải trả","numeric__Thanh toán mua tài sản, dịch vụ",numeric__Doanh thu cung cấp dịch vụ quản lý,numeric__Đơn vị tính: VND
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,"Mua tài sản, dịch vụ phải trả","Thanh toán mua tài sản, dịch vụ",Doanh thu cung cấp dịch vụ quản lý,Doanh thu cung cấp dịch vụ quản lý đã thu,,,,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,(9.738.111),9.738.111,415.104.642.637,(206.483.525.870),,-9738111.0,9738111.0,415104642637.0,-206483525870.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,(949.699.074),949.699.074,224.544.062.220,(77.088.918.165),,-949699074.0,949699074.0,224544062220.0,-77088918165.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,-,65.788.393.154,(219.059.483.307),,,,65788393154.0,-219059483307.0
Công ty Vincommerce,Bên liên quan > Công ty Vincommerce,Công ty Vincommerce,Công ty con,(309.877.213.485),218.268.045.029,60.654.854.039,(13.819.778.713),,-309877213485.0,218268045029.0,60654854039.0,-13819778713.0
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,-,-,145.997.088.190,(164.531.022.687),,,,145997088190.0,-164531022687.0
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,(2.927.825.887),369.722.887,117.294.700.859,(132.869.278.273),,-2927825887.0,369722887.0,117294700859.0,-132869278273.0
Công ty Xây dựng Vincom 3,Bên liên quan > Công ty Xây dựng Vincom 3,Công ty Xây dựng Vincom 3,Công ty con,(221.547.647.647),193.687.113.304,3.226.372.667,(3.205.348.689),,-221547647647.0,193687113304.0,3226372667.0,-3205348689.0
Công ty Vinhomes 2,Bên liên quan > Công ty Vinhomes 2,Công ty Vinhomes 2,Công ty con,(67.540.462.992),46.219.798.090,11.239.945.055,(11.243.465.407),,-67540462992.0,46219798090.0,11239945055.0,-11243465407.0
Công ty Xây dựng Vincom 1,Bên liên quan > Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,(1.981.034.121.448),1.751.167.321.093,584.269.018,(584.269.018),,-1981034121448.0,1751167321093.0,584269018.0,-584269018.0
Công ty Quản lý Vinpearl,Bên liên quan > Công ty Quản lý Vinpearl,Công ty Quản lý Vinpearl,Công ty con,(5.912.600.000),5.649.240.000,145.493.302.993,(145.231.965.414),,-5912600000.0,5649240000.0,145493302993.0,-145231965414.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Đơn vị tính: VND,,,,,
,,,,"Mua tài sản, dịch vụ phải trả","Thanh toán mua tài sản, dịch vụ",Doanh thu cung cấp dịch vụ quản lý,Doanh thu cung cấp dịch vụ quản lý đã thu,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,"Mua tài sản, dịch vụ phải trả","Thanh toán mua tài sản, dịch vụ",Doanh thu cung cấp dịch vụ quản lý,Doanh thu cung cấp dịch vụ quản lý đã thu,,,,,
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,(11.832.959.805),3.254.367.126,15.365.055.374,(141.919.757.449),,-11832959805.0,3254367126.0,15365055374.0,-141919757449.0
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,-,86.878.010.009,(86.878.010.009),,,,86878010009.0,-86878010009.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,(27.341.661),15.825.238,163.117.402.012,(308.714.288.844),,-27341661.0,15825238.0,163117402012.0,-308714288844.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,-,307.978.686.548,(167.367.320.979),,,,307978686548.0,-167367320979.0
Công ty Xây dựng Vincom 2,Bên liên quan > Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty con,(255.487.287.846),260.399.109.542,-,-,,-255487287846.0,260399109542.0,,
Công ty Xây dựng Vincom 1,Bên liên quan > Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,(295.744.076.187),230.481.490.718,-,-,,-295744076187.0,230481490718.0,,
