row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hop lý,Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hop lý,Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hop lý,numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hop lý,numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp
1,1,1,Công ty Vincom Retail,(i) (xii),820.811.068,8.231.109.514.032,(**),"54,12%",295.140.000,2.974.398.834.032,(**),"35,79%",,,820811068.0,8231109514032.0,,0.5412,295140000.0,2974398834032.0,,0.3579
2,2,2,Công ty Tân Liên Phát,(ii) (xi)(xxv) (xxvi),311.125.000,5.849.515.138.887,(**),"47,50%",278.375.000,4.948.890.138.887,(**),"42,50%",,,311125000.0,5849515138887.0,,0.475,278375000.0,4948890138887.0,,0.425
3,3,3,Công ty Nam Hà Nội,(iii) (xxiii)(xi),197.800.000,5.792.493.038.618,(**),"98,90%",187.800.000,5.290.741.538.618,6.009.600.000.000,"93,90%",,,197800000.0,5792493038618.0,,0.9890000000000001,187800000.0,5290741538618.0,6009600000000.0,0.9390000000000001
4,4,4,Công ty Vicentra,(iv),175.000.000,4.529.642.075.345,(**),"63,15%",-,-,-,-,,,175000000.0,4529642075345.0,,0.6315,,,,
5,5,5,Công ty Hoàng Gia,(v) (xi)(xxvii),197.450.000,2.840.478.751.405,(**),"80,82%",273.150.000,3.929.484.785.749,(**),"96,20%",,,197450000.0,2840478751405.0,,0.8081999999999999,273150000.0,3929484785749.0,,0.9620000000000001
6,6,6,Công ty Mễ Tri,(vi),81.565.200,2.636.595.090.000,(**),"97,80%",56.019.514,1.810.830.790.050,(**),"67,17%",,,81565200.0,2636595090000.0,,0.978,56019514.0,1810830790050.0,,0.6717
7,7,7,Công ty Sài Đồng,(vii),112.800.300,2.212.943.935.291,5.515.414.400.000,"94,00%",112.800.300,2.212.943.935.291,3.034.328.070.000,"94,00%",,,112800300.0,2212943935291.0,5515414400000.0,0.94,112800300.0,2212943935291.0,3034328070000.0,0.94
8,8,8,Công ty Xavinco,(viii),190.875.000,2.071.029.000.000,(**),"95,44%",190.875.000,2.071.029.000.000,(**),"95,44%",,,190875000.0,2071029000000.0,,0.9544,190875000.0,2071029000000.0,,0.9544
9,9,9,Công ty Vinmec,(ix),179.490.848,1.794.908.480.000,(**),"54,95%",-,-,-,-,,,179490848.0,1794908480000.0,,0.5495,,,,
10,10,10,Công ty Vincommerce,(x) (xxvi),166.555.000,1.665.550.000.000,(**),"23,40%",-,-,-,-,,,166555000.0,1665550000000.0,,0.23399999999999999,,,,
11,11,11,Công ty Thời Đại,(xi),(*),1.561.000.000.000,(**),"100,00%",(*),1.561.000.000.000,(**),"100,00%",,,,1561000000000.0,,1.0,,1561000000000.0,,1.0
12,12,12,Công ty VinEco,(x) (xii)(xxiv),(*),1.400.490.000.000,(**),"70,00%",(*),493.600.000.000,(**),"70,00%",,,,1400490000000.0,,0.7,,493600000000.0,,0.7
13,13,13,Công ty Triển lâm Việt Nam,,138.810.945,1.395.329.678.450,5.899.465.162.500,"83,32%",138.810.945,1.395.329.678.450,2.679.051.238.500,"83,32%",,,138810945.0,1395329678450.0,5899465162500.0,0.8331999999999999,138810945.0,1395329678450.0,2679051238500.0,0.8331999999999999
14,14,14,Công ty TNHH Hoàng Gia,(xxvii),(**),1.089.006.034.344,(***),"100,00%",-,-,-,-,,,,1089006034344.0,,1.0,,,,
15,15,15,Công ty Ngõi Sao Phương Nam,(xiii),,,,,,,,,,,,,,,,,,
,,,,,59.400.000,785.456.000.000,(**),"99,00%",53.400.000,724.190.080.000,(**),"89,00%",,,59400000.0,785456000000.0,,0.99,53400000.0,724190080000.0,,0.89
16,15 > 16,16,Công ty Sách Việt Nam,(xiv),44.364.274,475.165.611.800,(**),"65,33%",-,-,-,-,,,44364274.0,475165611800.0,,0.6533,,,,
17,15 > 17,17,Công ty Xây dựng Vincom 3,(x) (xii),(*),376.000.000.000,(**),"94,00%",(*),33.810.000.000,(**),"94,00%",,,,376000000000.0,,0.94,,33810000000.0,,0.94
18,15 > 18,18,Công ty Vinhomes 1,,(*),300.000.000.000,(**),"100,00%",(*),300.000.000.000,(**),"100,00%",,,,300000000000.0,,1.0,,300000000000.0,,1.0
19,15 > 19,19,Công ty Xây dựng Vincom 1,,(*),220.000.000.000,(**),"100,00%",(*),220.000.000.000,(**),"100,00%",,,,220000000000.0,,1.0,,220000000000.0,,1.0
20,15 > 20,20,Công ty BĐS Thăng Long,(xv),3.150.000,199.700.000.000,(**),"63,00%",(*),-,-,-,,,3150000.0,199700000000.0,,0.63,,,,
21,15 > 21,21,Công ty BFF,,(*),198.000.000.000,(**),"86,09%",(*),198.000.000.000,(**),"86,09%",,,,198000000000.0,,0.8609,,198000000000.0,,0.8609
22,15 > 22,22,Công ty Hoa Mai,,(*),170.770.000.000,(**),"74,00%",(*),170.770.000.000,(**),"74,00%",,,,170770000000.0,,0.74,,170770000000.0,,0.74
23,23,23,Công ty Năng lượng Hải Linh,(xvi),,,,,,,,,,,,,,,,,,
,,,,,940.000,106.809.981.600,(**),"94,00%",-,-,-,-,,,940000.0,106809981600.0,,0.94,,,,
24,23 > 24,24,Công ty Vinschool,,(*),100.000.000.000,(**),"100,00%",(*),100.000.000.000,(**),"100,00%",,,,100000000000.0,,1.0,,100000000000.0,,1.0
