row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Ngày 31 tháng 12 năm 2016 VND,Lãi suất %/năm,Ngày đáo hạn,numeric__Mối quan hệ,numeric__Ngày 31 tháng 12 năm 2016 VND,numeric__Lãi suất %/năm,numeric__Ngày đáo hạn
Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,,,,
Công ty Nam Hà Nội,Các khoản cho vay ngắn hạn > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,2.768.435.175.899,"7,00%",Từ ngày 8 tháng 3 năm 2017 đến ngày 29 tháng 6 năm 2017,,2768435175899.0,0.07,
Công ty Hoàng Gia,Các khoản cho vay ngắn hạn > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,1.250.609.000.000,"10,50%",Từ ngày 13 tháng 2 năm 2017 đến ngày 28 tháng 6 năm 2017,,1250609000000.0,0.105,
Công ty BĐS Thăng Long,Các khoản cho vay ngắn hạn > Công ty BĐS Thăng Long,Công ty BĐS Thăng Long,Công ty con,55.204.181.818,"7,00%",Ngày 2 tháng 6 năm 2017,,55204181818.0,0.07,
Công ty Vinhomes 1,Các khoản cho vay ngắn hạn > Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty con,989.000.000.000,"7,00%",Từ ngày 15 tháng 3 năm 2017 đến ngày 29 tháng 6 năm 2017,,989000000000.0,0.07,
Công ty Vicentra,Các khoản cho vay ngắn hạn > Công ty Vicentra,Công ty Vicentra,Công ty con,90.000.000.000,"7,00%",Ngày 9 tháng 6 năm 2017,,90000000000.0,0.07,
Công ty Năng lượng Hải Linh,Các khoản cho vay ngắn hạn > Công ty Năng lượng Hải Linh,Công ty Năng lượng Hải Linh,Công ty con,21.455.024.986,"7,00%",Từ ngày 24 tháng 4 năm 2017 đến ngày 27 tháng 4 năm 2017,,21455024986.0,0.07,
Công ty Thời Đại,Các khoản cho vay ngắn hạn > Công ty Thời Đại,Công ty Thời Đại,Công ty con,274.045.833.333,"7,00%",Từ ngày 1 tháng 3 năm 2017 đến ngày 22 tháng 6 năm 2017,,274045833333.0,0.07,
Công Ty Vinpearlland,Các khoản cho vay ngắn hạn > Công Ty Vinpearlland,Công Ty Vinpearlland,Công ty con,797.008.000.000,"7,00%",Từ ngày 28 tháng 1 năm 2017 đến ngày 29 tháng 6 năm 2017,,797008000000.0,0.07,
Công ty Vineco,Các khoản cho vay ngắn hạn > Công ty Vineco,Công ty Vineco,Công ty con,404.000.000.000,"7,00%",Từ ngày 25 tháng 4 năm 2017 đến ngày 31 tháng 6 năm 2017,,404000000000.0,0.07,
Công ty Vinmec,Các khoản cho vay ngắn hạn > Công ty Vinmec,Công ty Vinmec,Công ty con,254.000.000.000,"7,00%",Từ ngày 28 tháng 4 năm 2017 đến ngày 9 tháng 6 năm 2017,,254000000000.0,0.07,
Công ty Vincommerce,Các khoản cho vay ngắn hạn > Công ty Vincommerce,Công ty Vincommerce,Công ty con,1.744.207.694.445,"7,00%",Từ ngày 12 tháng 1 năm 2017 đến ngày 30 tháng 6 năm 2017,,1744207694445.0,0.07,
Công ty VINDS,Các khoản cho vay ngắn hạn > Công ty VINDS,Công ty VINDS,Công ty con,308.000.000.000,"7,00%",Từ ngày 3 tháng 3 năm 2017 đến ngày 27 tháng 6 năm 2017,,308000000000.0,0.07,
Công ty Vinpearl Đà Nẵng,Các khoản cho vay ngắn hạn > Công ty Vinpearl Đà Nẵng,Công ty Vinpearl Đà Nẵng,Công ty con,208.000.000.000,"7,00%",Từ ngày 15 tháng 5 năm 2017 đến ngày 30 tháng 6 năm 2017,,208000000000.0,0.07,
Công ty Vinpearl Hạ Long,Các khoản cho vay ngắn hạn > Công ty Vinpearl Hạ Long,Công ty Vinpearl Hạ Long,Công ty con,294.700.000.000,"9,00%",Ngày 31 tháng 3 năm 2017,,294700000000.0,0.09,
Công ty Trường Thành,Các khoản cho vay ngắn hạn > Công ty Trường Thành,Công ty Trường Thành,Công ty liên kết,335.389.000.000,"7,00%",Từ ngày 16 tháng 2 đến ngày 2 tháng 6 năm 2017,,335389000000.0,0.07,
,,,,9.794.053.910.481,,,,9794053910481.0,,
Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,Cho vay dài hạn đến hạn thu hồi,,,,
Công ty Hòn Một,Cho vay dài hạn đến hạn thu hồi > Công ty Hòn Một,Công ty Hòn Một,Công ty con,39.000.000.000,"10,00%",Từ ngày 24 tháng 4 năm 2017 đến ngày 5 tháng 10 năm 2017,,39000000000.0,0.1,
,,,,39.000.000.000,,,,39000000000.0,,
