row_label_raw,row_label_full,Tiền quản lý tập trung phải trả các công ty con (Thuyết minh số 32) > Tiền đặt cọc theo hợp đồng hợp tác đầu tư các dự án bất động sản (Thuyết minh số 32),Số cuối năm > 1.021.623.900.009 > 950.481.728.811,Đơn vị tính: VND Số đầu năm > 1.293.743.363.509 > 810.514.542.712,numeric__Số cuối năm > 1.021.623.900.009 > 950.481.728.811,numeric__Đơn vị tính: VND Số đầu năm > 1.293.743.363.509 > 810.514.542.712
"Tiền thu từ các hợp đồng vay vốn, đặt cọc liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng vay vốn, đặt cọc liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng vay vốn, đặt cọc liên quan đến các dự án bất động sản",691.065.242.917,384.898.778.987,691065242917.0,384898778987.0
Đặt cọc để mua các khoản đầu tư (i),Đặt cọc để mua các khoản đầu tư (i),Đặt cọc để mua các khoản đầu tư (i),275.000.000.000,2.028.000.000.000,275000000000.0,2028000000000.0
Phải trả cho công ty con theo hợp đồng tổng thầu xây dựng nguyên tắc,Phải trả cho công ty con theo hợp đồng tổng thầu xây dựng nguyên tắc,Phải trả cho công ty con theo hợp đồng tổng thầu xây dựng nguyên tắc,-,412.000.000.000,,412000000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,291.885.187.109,118.250.791.821,291885187109.0,118250791821.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.230.056.058.846,5.047.407.477.029,3230056058846.0,5047407477029.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,1.160.344.031.712,793.966.681.404,1160344031712.0,793966681404.0
Phải trả các bên liên quan (Thuyết minh số 32),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 32),Phải trả các bên liên quan (Thuyết minh số 32),2.069.712.027.134,4.253.440.795.625,2069712027134.0,4253440795625.0
