row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Trong năm > Tăng trong năm,Trong năm > Giảm trong năm,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Trong năm > Tăng trong năm,numeric__Trong năm > Giảm trong năm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Trái phiếu phát hành trong nước,Trái phiếu phát hành trong nước,Trái phiếu phát hành trong nước,23.2.1,11.708.056.766.406,4.948.964.296.141,-,16.657.021.062.547,2321.0,11708056766406.0,4948964296141.0,,16657021062547.0
Trái phiếu quốc tế (i),Trái phiếu quốc tế (i),Trái phiếu quốc tế (i),,4.339.680.950.302,168.319.049.698,(4.508.000.000.000),-,,4339680950302.0,168319049698.0,-4508000000000.0,
Vay các bên liên quan dài hạn,Vay các bên liên quan dài hạn,Vay các bên liên quan dài hạn,32,2.510.492.366.939,30.957.962.928,-,2.541.450.329.867,32.0,2510492366939.0,30957962928.0,,2541450329867.0
Khoản vay hợp vốn,Khoản vay hợp vốn,Khoản vay hợp vốn,23.2.2,-,6.611.612.859.408,-,6.611.612.859.408,2322.0,,6611612859408.0,,6611612859408.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,23.2.1,-,-,(3.973.682.722.225),(3.973.682.722.225),2321.0,,,-3973682722225.0,-3973682722225.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,18.558.230.083.647,11.759.854.168.175,(8.481.682.722.225),21.836.401.529.597,,18558230083647.0,11759854168175.0,-8481682722225.0,21836401529597.0
