row_label_raw,row_label_full,Bên liên quan > Công ty Nam Hà Nội > Công ty Vinpearl Phú Quốc,Mối quan hệ > Công ty con > Công ty con đến ngày 22 tháng 12 năm 2016,Chuyển nhượng cổ phần > (4.415.561.419.672) > -,Nhận thanh toán tiền bán cổ phần > 4.415.561.419.672 > -,Nhận chuyển nhượng cổ phần > 44.155.614.197 > 810.176.525.0006.000.000.000,Đơn vị tính: VNDThanh toán tiền mua cổ phần > (44.155.614.197) > (810.176.525.000)(6.000.000.000),numeric__Mối quan hệ > Công ty con > Công ty con đến ngày 22 tháng 12 năm 2016,numeric__Chuyển nhượng cổ phần > (4.415.561.419.672) > -,numeric__Nhận thanh toán tiền bán cổ phần > 4.415.561.419.672 > -,numeric__Nhận chuyển nhượng cổ phần > 44.155.614.197 > 810.176.525.0006.000.000.000,numeric__Đơn vị tính: VNDThanh toán tiền mua cổ phần > (44.155.614.197) > (810.176.525.000)(6.000.000.000)
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,(20.000.000.000),(20.000.000.000),-,-,,-20000000000.0,-20000000000.0,,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,(663.181.818.182),-,-,-,,-663181818182.0,,,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,,,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Chuyển nhượng cổ phần,Nhận thanh toán tiền bán cổ phần,Nhận chuyển nhượng cổ phần,Đơn vị tính: VNDThanh toán tiền mua cổ phần,,,,,
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,210.300.000.000,(632.641.898.952),(6.000.000.000),6.000.000.000,,210300000000.0,-632641898952.0,-6000000000.0,6000000000.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,300.000.000,(1.566.745.467.097),-,-,,300000000.0,-1566745467097.0,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,3.680.262.726.328,(3.680.288.591.328),-,-,,3680262726328.0,-3680288591328.0,,
Công ty Vinschool,Bên liên quan > Công ty Vinschool,Công ty Vinschool,Công ty con,552.960.000.000,(626.033.040.000),-,-,,552960000000.0,-626033040000.0,,
Công ty Vincom Retail Miền Nam,Bên liên quan > Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,907.887.877.800,(907.887.877.800),-,-,,907887877800.0,-907887877800.0,,
