row_label_raw,row_label_full,Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu và trái phiếu chuyển đổi phân bổ trong năm),Năm nay > 3.287.464.598.199,Đơn vị tính: VNDNăm trước(Trình bày lại) > 2.643.993.985.025,numeric__Năm nay > 3.287.464.598.199,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại) > 2.643.993.985.025
Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư tài chính,Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư tài chính,Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư tài chính,149.144.639.895,(16.349.620.363),149144639895.0,-16349620363.0
Lỗ chênh lệch tỷ giả,Lỗ chênh lệch tỷ giả,Lỗ chênh lệch tỷ giả,150.279.074.274,502.278.621.885,150279074274.0,502278621885.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,41.154.757.395,9.042.345.811,41154757395.0,9042345811.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.628.043.069.763,3.138.965.332.358,3628043069763.0,3138965332358.0
