row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí tư vấn bán hàng,Chi phí bán hàng > Chi phí tư vấn bán hàng,Chi phí tư vấn bán hàng,77.100.355.854,-,77100355854.0,
Chi phí hoa hồng môi giới,Chi phí bán hàng > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,48.736.833.938,-,48736833938.0,
Chi phí quảng cáo,Chi phí bán hàng > Chi phí quảng cáo,Chi phí quảng cáo,49.135.788.389,-,49135788389.0,
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,7.445.662.909,6.781.066.408,7445662909.0,6781066408.0
,,,182.418.641.090,6.781.066.408,182418641090.0,6781066408.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí từ thiện,Chi phí quản lý doanh nghiệp > Chi phí từ thiện,Chi phí từ thiện,136.932.795.443,130.263.432.741,136932795443.0,130263432741.0
Chi phí phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > Chi phí phân bổ lợi thế thương mại,Chi phí phân bổ lợi thế thương mại,34.461.802.024,34.843.415.524,34461802024.0,34843415524.0
(Hoàn nhập)/trích lập các khoản dự phòng,Chi phí quản lý doanh nghiệp > (Hoàn nhập)/trích lập các khoản dự phòng,(Hoàn nhập)/trích lập các khoản dự phòng,(52.651.016.031),32.531.759.519,-52651016031.0,32531759519.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,-,95.317.891.973,,95317891973.0
,,,118.743.581.436,292.956.499.757,118743581436.0,292956499757.0
TỔNG CỔNG,Chi phí quản lý doanh nghiệp > TỔNG CỔNG,TỔNG CỔNG,301.162.222.526,299.737.566.165,301162222526.0,299737566165.0
