row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,73.440.265.060,3.920.546.757,73440265060.0,3920546757.0
Chi phí bảo lãnh trái phiếu trả trước,Ngắn hạn > Chi phí bảo lãnh trái phiếu trả trước,Chi phí bảo lãnh trái phiếu trả trước,14.874.932.390,-,14874932390.0,
Chi phí thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn > Chi phí thuế thu nhập doanh nghiệp tạm tính,Chi phí thuế thu nhập doanh nghiệp tạm tính,12.976.433.497,-,12976433497.0,
Chi phí bàn quyền phần mềm,Ngắn hạn > Chi phí bàn quyền phần mềm,Chi phí bàn quyền phần mềm,7.557.454.545,7.325.983.760,7557454545.0,7325983760.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,5.795.142.571,2.148.456.107,5795142571.0,2148456107.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,114.644.228.063,13.394.986.624,114644228063.0,13394986624.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,47.302.743.958,-,47302743958.0,
Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,Dài hạn > Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,9.808.000.104,26.621.714.568,9808000104.0,26621714568.0
Lợi thể thương mại phát sinh từ giao dịch sáp nhập công ty con vào Công ty,Dài hạn > Lợi thể thương mại phát sinh từ giao dịch sáp nhập công ty con vào Công ty,Lợi thể thương mại phát sinh từ giao dịch sáp nhập công ty con vào Công ty,-,34.461.802.024,,34461802024.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,4.435.097.212,6.432.166.278,4435097212.0,6432166278.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,61.545.841.274,67.515.682.870,61545841274.0,67515682870.0
