row_label_raw,row_label_full,Tổng Công ty Đệt may Việt Nam,Đơn vị tính: VND > Số cuối năm > 552.395.000.000,Đơn vị tính: VND > Số đầu năm > 552.395.000.000,numeric__Đơn vị tính: VND > Số cuối năm > 552.395.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 552.395.000.000
Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,519.232.500.000,-,519232500000.0,
Công ty Quản lý BĐS Vinhomes(Thuyết minh số 17.1 – (xx)),Công ty Quản lý BĐS Vinhomes(Thuyết minh số 17.1 – (xx)),Công ty Quản lý BĐS Vinhomes(Thuyết minh số 17.1 – (xx)),443.750.000.000,-,443750000000.0,
Công ty M.Y.M,Công ty M.Y.M,Công ty M.Y.M,57.000.000.000,,57000000000.0,
Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,12.400.000.000,12.400.000.000,12400000000.0,12400000000.0
Công ty Vicentra (Thuyết minh số 17.1 – (iv)),Công ty Vicentra (Thuyết minh số 17.1 – (iv)),Công ty Vicentra (Thuyết minh số 17.1 – (iv)),-,1.749.495.515.345,,1749495515345.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.584.777.500.000,2.314.290.515.345,1584777500000.0,2314290515345.0
