row_label_raw,row_label_full,STT,Bên nhận đầu tư,Vốn điều lệ của bên nhận đầu tư,Cam kết góp vốn của Công ty,Cam kết góp vốn của Công ty_1,Số vốn thực góp,Số vốn thực góp_1,numeric__Bên nhận đầu tư,numeric__Vốn điều lệ của bên nhận đầu tư,numeric__Cam kết góp vốn của Công ty,numeric__Cam kết góp vốn của Công ty_1,numeric__Số vốn thực góp,numeric__Số vốn thực góp_1
STT,STT,STT,Bên nhận đầu tư,Vốn điều lệ của bên nhận đầu tư,Số tiền,%,Số tiền,Số tiền,,,,,,
,,,,VND,VND,,VND,VND,,,,,,
1,STT > 1,1,Công ty Tây Tăng Long,300.000.000.000,30.000.000.000,"10,00",635.000.000,29.365.000.000,,300000000000.0,30000000000.0,10.0,635000000.0,29365000000.0
2,STT > 2,2,Công ty Bảo vệ Vincom,50.000.000.000,50.000.000.000,"100,00",2.000.000.000,48.000.000.000,,50000000000.0,50000000000.0,100.0,2000000000.0,48000000000.0
3,STT > 3,3,Công ty Vinhomes 2,100.000.000.000,94.000.000.000,"94,00",5.640.000.000,88.360.000.000,,100000000000.0,94000000000.0,94.0,5640000000.0,88360000000.0
4,STT > 4,4,Công ty Xây dựng Vincom 6,50.000.000.000,47.000.000.000,"94,00",17.000.000.000,30.000.000.000,,50000000000.0,47000000000.0,94.0,17000000000.0,30000000000.0
5,STT > 5,5,Công ty VinAcademy,50.000.000.000,47.000.000.000,"94,00",28.500.000.000,18.500.000.000,,50000000000.0,47000000000.0,94.0,28500000000.0,18500000000.0
,,,,550.000.000.000,268.000.000.000,,53.775.000.000,214.225.000.000,,550000000000.0,268000000000.0,,53775000000.0,214225000000.0
