row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Trả trước theo các hợp đồng chuyển nhượng bất động sản để bán,Trả trước theo các hợp đồng chuyển nhượng bất động sản để bán,Trả trước theo các hợp đồng chuyển nhượng bất động sản để bán,1.401.829.924.191,25.445.358.289,1401829924191.0,25445358289.0
Trả trước theo các hợp đồng khác,Trả trước theo các hợp đồng khác,Trả trước theo các hợp đồng khác,-,2.913.312.976,,2913312976.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.401.829.924.191,28.358.671.265,1401829924191.0,28358671265.0
Trong đó:Người mua trả tiền trước,Trong đó:Người mua trả tiền trước,Trong đó:Người mua trả tiền trước,1.401.829.924.191,26.345.385.001,1401829924191.0,26345385001.0
Các bên liên quan trả tiền trước,Các bên liên quan trả tiền trước,Các bên liên quan trả tiền trước,-,2.013.286.264,,2013286264.0
