row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Ngày 31 tháng 12năm 2016VND,Lãi suất > %/năm,Ngày đáo hạn,numeric__Mối quan hệ,numeric__Ngày 31 tháng 12năm 2016VND,numeric__Lãi suất > %/năm,numeric__Ngày đáo hạn
Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,Các khoản cho vay dài hạn,,,,
Công ty Vincom Retail,Các khoản cho vay dài hạn > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,1.063.170.400.000,"16,47%",Ngày 6 tháng 5 năm 2018,,1063170400000.0,0.16469999999999999,
Công ty Vincom Retail Miền Bắc,Các khoản cho vay dài hạn > Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,1.600.000.000.000,"13,00%",Ngày 14 tháng 2 năm 2019,,1600000000000.0,0.13,
Công ty Hòn Một,Các khoản cho vay dài hạn > Công ty Hòn Một,Công ty Hòn Một,Công ty con,41.200.000.000,"10,00%",Từ ngày 24 tháng 4 năm 2017 đến ngày 10 tháng 8 năm 2018,,41200000000.0,0.1,
,,,,2.704.370.400.000,,,,2704370400000.0,,
Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,Chi tiết các khoản cho vay dài hạn không có tài sản đảm bảo tại ngày 31 tháng 12 năm 2015:,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Ngày 31 tháng 12năm 2015VND,Lãi suất,Ngày đáo hạn,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Ngày 31 tháng 12năm 2015VND,%/năm,,,,,
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,8.908.541.666.667,"16,47%",Ngày 6 tháng 5 năm 2018,,8908541666667.0,0.16469999999999999,
Công ty Vincom Retail Miền Bắc,Bên liên quan > Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,1.600.000.000.000,"13,00%",Ngày 14 tháng 2 năm 2019,,1600000000000.0,0.13,
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,533.300.000.000,"11,00%",Ngày 16 tháng 9 năm 2019,,533300000000.0,0.11,
Công ty Hòn Một,Bên liên quan > Công ty Hòn Một,Công ty Hòn Một,Công ty con,39.000.000.000,"10,00%",Ngày 24 tháng 4 năm 2017,,39000000000.0,0.1,
,,,,11.080.841.666.667,,,,11080841666667.0,,
