row_label_raw,row_label_full,Phải trả cho các bên liên quan (Thuyết minh số 32),Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm > 490.295.190.106,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm > 84.331.925.812,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm > 490.295.190.106,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm > 84.331.925.812
Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,238.875.961.263,51.956.170.767,238875961263.0,51956170767.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,729.171.151.369,136.288.096.579,729171151369.0,136288096579.0
Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,,,,
Phải trả một đối tác doanh nghiệp,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn > Phải trả một đối tác doanh nghiệp,Phải trả một đối tác doanh nghiệp,-,18.055.823.899,,18055823899.0
