row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Bên liên quan,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Mối quan hệ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Góp vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Cổ tức được chia,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Cổ tức nhận được,Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Mối quan hệ,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Góp vốn,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Cổ tức được chia,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Cổ tức nhận được,numeric__Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,-,939.964.899.900,-,(3.922.464.194.153),,,939964899900.0,,-3922464194153.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,-,-,(1.733.000.000.000),,,,,-1733000000000.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,-,-,-,553.184.989.212,,,,,553184989212.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,1.655.109.375.000,2.040.656.250.000,-,,,1655109375000.0,2040656250000.0,
Công ty Thời đại,Công ty Thời đại,Công ty Thời đại,Công ty con,-,200.000.000.000,200.000.000.000,-,,,200000000000.0,200000000000.0,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,-,300.000.000.000,300.000.000.000,-,,,300000000000.0,300000000000.0,
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,91.955.000.000,-,-,-,,91955000000.0,,,
Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty con,100.300.000.000,-,-,-,,100300000000.0,,,
Công ty Ánh Sao,Công ty Ánh Sao,Công ty Ánh Sao,Công ty con,72.271.900.000,-,-,-,,72271900000.0,,,
Công ty Ngôi sao Phương Nam,Công ty Ngôi sao Phương Nam,Công ty Ngôi sao Phương Nam,Công ty con,414.000.000.000,-,-,-,,414000000000.0,,,
Công ty Hoa Mai,Công ty Hoa Mai,Công ty Hoa Mai,Công ty con,170.780.000.000,-,-,-,,170780000000.0,,,
Công ty VinEco,Công ty VinEco,Công ty VinEco,Công ty con,493.600.000.000,-,-,-,,493600000000.0,,,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,95.000.000.000,-,-,-,,95000000000.0,,,
Công ty Vinpro,Công ty Vinpro,Công ty Vinpro,Công ty con,940.000.000.000,-,-,-,,940000000000.0,,,
Công ty VinDS,Công ty VinDS,Công ty VinDS,Công ty con,210.000.000.000,-,-,-,,210000000000.0,,,
Công ty Vinmart+,Công ty Vinmart+,Công ty Vinmart+,Công ty con,113.139.687.091,-,-,-,,113139687091.0,,,
Công ty Vinecom,Công ty Vinecom,Công ty Vinecom,Công ty con,416.855.956.533,-,-,-,,416855956533.0,,,
