row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26.1,3.768.971.356.079,976.176.934.312,,261.0,3768971356079.0,976176934312.0
02,02,02,2. Các khoản giảm trừ doanh thu,26.1,-,-,,261.0,,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,26.1,3.768.971.356.079,976.176.934.312,,261.0,3768971356079.0,976176934312.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,27,(2.199.977.834.709),(680.168.013.669),,27.0,-2199977834709.0,-680168013669.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.568.993.521.370,296.008.920.643,,,1568993521370.0,296008920643.0
21,21,21,6. Doanh thu hoạt động tài chính,26.2,3.785.357.949.204,6.130.396.091.173,,262.0,3785357949204.0,6130396091173.0
22,22,22,7. Chi phí tài chính,28,(3.628.043.069.763),(3.138.965.332.358),,28.0,-3628043069763.0,-3138965332358.0
23,23,23,Trong đó: Chi phí lãi vay,,(3.287.464.598.199),(2.643.993.985.025),,,-3287464598199.0,-2643993985025.0
25,25,25,8. Chi phí bán hàng,29,(182.418.641.090),(6.781.066.408),,29.0,-182418641090.0,-6781066408.0
26,26,26,9. Chi phí quản lý doanh nghiệp,29,(118.743.581.436),(292.956.499.757),,29.0,-118743581436.0,-292956499757.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,1.425.146.178.285,2.987.702.113.293,,,1425146178285.0,2987702113293.0
31,31,31,11. Thu nhập khác,,10.878.730.989,7.239.342.958,,,10878730989.0,7239342958.0
32,32,32,12. Chi phí khác,,(5.388.771.472),(10.692.386.094),,,-5388771472.0,-10692386094.0
40,40,40,13. Lợi nhuận/(lỗ) khác,,5.489.959.517,(3.453.043.136),,,5489959517.0,-3453043136.0
