row_label_raw,row_label_full,STT,Tên đơn vị (*),Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hop lý,Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị,Số đầu năm > Giá trị hop lý,Đơn vị tính: VND > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Tên đơn vị (*),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hop lý,numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Giá trị hop lý,numeric__Đơn vị tính: VND > Tỷ lệ vốn nằm giữ trực tiếp
25,25,25,Công ty Vinpearlland,(xvii)(xxiii),1.287.966(*),44.155.614.19728.500.000.000,(**),"0,91%94,00%",(*)(*),3.605.384.894.67228.500.000.000,(**),"100,00%94,00%",,,,4.4155614197285e+21,,,,3.605384894672285e+23,,
26,26,26,Công ty VinAcademy,,,,,,,,,,,,,,,,,,,
27,26 > 27,27,Công ty Xây dựng Vincom 7,(xxviii),-,-,-,-,(*),17.000.000.000,(**),"94,00%",,,,,,,,17000000000.0,,0.94
28,26 > 28,28,Công ty VinDS,(xviii)(xxiii),700.000(*),7.000.000.0005.640.000.000,(**),"1,00%94,00%",-(*),-5.640.000.0002.000.000.000,(**),"94,00%100,00%",,,,7.000000000564e+19,,,,-5.6400000002e+19,,
29,29,29,Công ty Vinhomes 2,,,,,,,,,,,,,,,,,,,
30,29 > 30,30,Công ty Bảo vệ Vincom,,(*)(*),2.000.000.000635.000.000,(**),"100,00%10,00%",(*)(*),2.000.000.000635.000.000,(**),"100,00%10,00%",,,,2.000000000635e+18,,,,2.000000000635e+18,,
31,29 > 31,31,Công ty Tây Tăng Long,(xi),(*),635.000.000,(**),"10,00%",(*),635.000.000,(**),"10,00%",,,,635000000.0,,0.1,,635000000.0,,0.1
32,29 > 32,32,Công ty Xây dựng Vincom 6,(xix)(xxviii),(*),17.000.000.000,(**),"94,00%",(*),2.100.000.000,(**),"94,00%",,,,17000000000.0,,0.94,,2100000000.0,,0.94
33,29 > 33,33,Công ty Vinlandscape,(xix),-,-,-,-,(*),1.789.720.899,(**),"100,00%",,,,,,,,1789720899.0,,1.0
34,29 > 34,34,Công ty Marketing VME,(xix),-,-,-,-,(*),1.100.000.000,(**),"94,00%",,,,,,,,1100000000.0,,0.94
35,29 > 35,35,Công ty Hà Thành,(xix),-,-,-,-,(*),100.000.000,(**),"100,00%",,,,,,,,100000000.0,,1.0
36,29 > 36,36,Công ty Quản lý BDS Vinhomes,(xii) (xx),-,-,-,-,(*),31.000.000.000,(**),"100,00%",,,,,,,,31000000000.0,,1.0
37,29 > 37,37,Công ty Vinpro,(x),-,-,-,-,(*),940.000.000.000,(**),"94,00%",,,,,,,,940000000000.0,,0.94
38,29 > 38,38,Công ty Vinecom,(x),-,-,-,-,(*),577.500.000.000,(**),"55,00%",,,,,,,,577500000000.0,,0.55
39,29 > 39,39,Công ty Vinlinks,(xxii),-,-,-,-,3.236.212,347.116.186.600,(**),"79,96%",,,,,,,3236212.0,347116186600.0,,0.7996
40,29 > 40,40,Công ty Vinaconex-Viettel,(xxii),-,-,-,-,15.000.000,180.000.000.000,(**),"5,00%",,,,,,,15000000.0,180000000000.0,,0.05
41,29 > 41,41,Công ty Xây dựng Vincom 2,(x),-,-,-,-,(*),156.100.000.000,(**),"94,00%",,,,,,,,156100000000.0,,0.94
42,29 > 42,42,Công ty Siêu Tốc,(x),-,-,-,-,14.805.000,148.050.000.000,(**),"94,00%",,,,,,,14805000.0,148050000000.0,,0.94
,,,,,,46.106.922.943.969,,,,34.479.034.583.248,,,,,,46106922943969.0,,,,34479034583248.0,,
