row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Quyền sử dụng đất,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Quyền sử dụng đất,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,87.706.085.875,-,-,87.706.085.875,87706085875.0,,,87706085875.0
- Xây dựng mới,Nguyên giá: > - Xây dựng mới,- Xây dựng mới,1.112.664.511.754,220.424.683.277,320.046.333.345,1.653.135.528.376,1112664511754.0,220424683277.0,320046333345.0,1653135528376.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,1.200.370.597.629,220.424.683.277,320.046.333.345,1.740.841.614.251,1200370597629.0,220424683277.0,320046333345.0,1740841614251.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,4.970.189.952,-,-,4.970.189.952,4970189952.0,,,4970189952.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,6.285.959.157,562.925.429,1.872.489.622,8.721.374.208,6285959157.0,562925429.0,1872489622.0,8721374208.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,11.256.149.109,562.925.429,1.872.489.622,13.691.564.160,11256149109.0,562925429.0,1872489622.0,13691564160.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,82.735.895.923,-,-,82.735.895.923,82735895923.0,,,82735895923.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,1.189.114.448.520,219.861.757.848,318.173.843.723,1.727.150.050.091,1189114448520.0,219861757848.0,318173843723.0,1727150050091.0
