row_label_raw,row_label_full,Chi phí thuế TNDN,Chi phí thuế TNDN > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Chi phí thuế TNDN > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,75.633.333.258,6.410.849.551,75633333258.0,6410849551.0
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(30.050.956.650),(814.940.711),-30050956650.0,-814940711.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,45.582.376.608,5.595.908.840,45582376608.0,5595908840.0
