row_label_raw,row_label_full,Tiền chuyển từ công ty con vào tài khoản quản lý tiền tập trung,Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con,numeric__Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con
(8.056.654.982.755),(8.056.654.982.755),(8.056.654.982.755),7.740.712.183.319,7740712183319.0
(4.828.003.580.983),(4.828.003.580.983),(4.828.003.580.983),4.828.026.493.414,4828026493414.0
(1.794.060.945.302),(1.794.060.945.302),(1.794.060.945.302),1.808.120.474.705,1808120474705.0
(1.580.093.683.600),(1.580.093.683.600),(1.580.093.683.600),2.017.099.925.199,2017099925199.0
(1.041.317.025.808),(1.041.317.025.808),(1.041.317.025.808),1.252.224.471.712,1252224471712.0
(657.000.955.060),(657.000.955.060),(657.000.955.060),667.402.743.022,667402743022.0
(1.409.091.839.997),(1.409.091.839.997),(1.409.091.839.997),1.405.049.900.800,1405049900800.0
(1.142.800.902.307),(1.142.800.902.307),(1.142.800.902.307),1.096.344.749.740,1096344749740.0
(12.435.801.805.192),(12.435.801.805.192),(12.435.801.805.192),12.379.775.226.655,12379775226655.0
(4.398.646.522.421),(4.398.646.522.421),(4.398.646.522.421),4.304.973.574.553,4304973574553.0
(559.452.691.226),(559.452.691.226),(559.452.691.226),625.000.730.688,625000730688.0
(872.279.831.940),(872.279.831.940),(872.279.831.940),961.694.938.053,961694938053.0
(457.467.337.956),(457.467.337.956),(457.467.337.956),381.811.506.617,381811506617.0
(3.240.950.095.156),(3.240.950.095.156),(3.240.950.095.156),3.210.418.346.977,3210418346977.0
(322.960.451.858),(322.960.451.858),(322.960.451.858),324.949.900.332,324949900332.0
(97.635.237.624),(97.635.237.624),(97.635.237.624),106.541.517.426,106541517426.0
(194.838.587.908),(194.838.587.908),(194.838.587.908),247.583.465.464,247583465464.0
(4.103.900.536.005),(4.103.900.536.005),(4.103.900.536.005),4.087.250.387.270,4087250387270.0
