row_label_raw,row_label_full,col_0,Don vị tính: VND,numeric__Don vị tính: VND
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
83.609.221.017,83.609.221.017,83.609.221.017,-,
152.978.379.071,83.609.221.017 > 152.978.379.071,152.978.379.071,18.719.166.665,18719166665.0
111.515.769,83.609.221.017 > 111.515.769,111.515.769,4.643.054.509,4643054509.0
-,83.609.221.017 > -,-,17.435.947.221,17435947221.0
-,83.609.221.017 > -,-,77.535.805.847,77535805847.0
-,83.609.221.017 > -,-,939.964.899.900,939964899900.0
1.509.596.705,1.509.596.705,1.509.596.705,-,
37.760.502,37.760.502,37.760.502,-,
48.899.375.001,37.760.502 > 48.899.375.001,48.899.375.001,1.166.666.670,1166666670.0
79.645.255,37.760.502 > 79.645.255,79.645.255,672.169.248,672169248.0
130.621.372.244,37.760.502 > 130.621.372.244,130.621.372.244,91.835.609.052,91835609052.0
21.140.106.077,37.760.502 > 21.140.106.077,21.140.106.077,414.307.351,414307351.0
20.338.651.059,37.760.502 > 20.338.651.059,20.338.651.059,100.527.776,100527776.0
1.142.578.559,37.760.502 > 1.142.578.559,1.142.578.559,1.096.065.600,1096065600.0
69.556.576.064,69.556.576.064,69.556.576.064,-,
61.952.622.223,69.556.576.064 > 61.952.622.223,61.952.622.223,45.149.861.112,45149861112.0
69.566.563.889,69.556.576.064 > 69.566.563.889,69.566.563.889,36.214.338.889,36214338889.0
229.722.761,69.556.576.064 > 229.722.761,229.722.761,5.295.364.464,5295364464.0
11.475.639.202,69.556.576.064 > 11.475.639.202,11.475.639.202,527.743.312.661,527743312661.0
-,69.556.576.064 > -,-,1.276.770.100,1276770100.0
77.425.788.632,69.556.576.064 > 77.425.788.632,77.425.788.632,131.387.263.036,131387263036.0
13.957.072.669,69.556.576.064 > 13.957.072.669,13.957.072.669,25.486.399.674,25486399674.0
4.572.239.169,69.556.576.064 > 4.572.239.169,4.572.239.169,4.877.415.629,4877415629.0
972.324.799,69.556.576.064 > 972.324.799,972.324.799,168.553.583,168553583.0
15.342.501.087,15.342.501.087,15.342.501.087,-,
785.519.251.754,15.342.501.087 > 785.519.251.754,785.519.251.754,1.931.183.498.987,1931183498987.0
