row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,631.393.854.072,267.815.623.415,631393854072.0,267815623415.0
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,223.715.714.426,4.758.036.054,223715714426.0,4758036054.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,28.408.278.592,16.117.468.318,28408278592.0,16117468318.0
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,-,93.448.998.244,,93448998244.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,883.517.847.090,382.140.126.031,883517847090.0,382140126031.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 32.2),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 32.2),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 32.2),646.055.182.131,274.579.879.230,646055182131.0,274579879230.0
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,237.462.664.959,107.560.246.801,237462664959.0,107560246801.0
Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn,,
Phải thu từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn > Phải thu từ một đối tác doanh nghiệp,Phải thu từ một đối tác doanh nghiệp,137.000.000.000,-,137000000000.0,
Dự phòng phải thu khó đòi,Chi tiết các khoản phải thu từ khách hàng chiếm trên 10% tổng phải thu khách hàng ngắn hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(4.944.255.910),(4.944.255.910),-4944255910.0,-4944255910.0
