row_label_raw,row_label_full,Bên liên quan > Công ty Nam Hà Nội,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Chỉ hộ phải thuLãi vay phải thu,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Chỉ hộ phải thuLãi vay phải thu
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,Chỉ hộ phải thuLãi vay phải thuĐặt cọc mua cổ phầnCổ tức phải thuPhải thu từ chương trình quản lý thể VinID,,
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,Chỉ hộ phải thuLãi vay phải thu,,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,Chỉ hộ phải thuLãi vay phải thu,,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,Chỉ hộ phải thuLãi vay phải thuPhải thu chi phí truyền thôngPhải thu từ chương trình quản lý thể VinID,,
Công ty Vinpearl Đà NẵngCông ty Vinpearl Hạ LongCông ty Vincom Retail,Công ty Vinpearl Đà NẵngCông ty Vinpearl Hạ LongCông ty Vincom Retail,Công ty Vinpearl Đà NẵngCông ty Vinpearl Hạ LongCông ty Vincom Retail,Công ty conCông ty conCông ty con,Lãi vay phải thuLãi vay phải thuChi hộ phải thuLãi vay phải thuCổ tức phải thuLãi vay phải thuChi hộ phải thuPhải thu chi phí truyền thôngPhải thu khácPhải thu từ chương trình quản lý thể VinID,,
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,,,
