row_label_raw,row_label_full,Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VND > Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VND > Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư
Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,(125.724.662.058),(122.397.763.656),-125724662058.0,-122397763656.0
"Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức",(3.433.227.084.271),(5.980.942.399.335),-3433227084271.0,-5980942399335.0
Tổng cộng,Tổng cộng,Tổng cộng,(3.558.951.746.329),(6.103.340.162.991),-3558951746329.0,-6103340162991.0
"Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác","Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác","Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác","Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác","Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác",,
"Tiền chi để mua sắm, xây dựng tài sản cổ định","Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác > Tiền chi để mua sắm, xây dựng tài sản cổ định","Tiền chi để mua sắm, xây dựng tài sản cổ định",(578.844.491.194),(254.798.171.882),-578844491194.0,-254798171882.0
Tiền chi đầu tư vào các dự án bất động sản,"Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác > Tiền chi đầu tư vào các dự án bất động sản",Tiền chi đầu tư vào các dự án bất động sản,(2.414.379.482.678),(3.131.462.363.057),-2414379482678.0,-3131462363057.0
Tổng cộng,"Mã số 21. Tiền chi để mua sắm, xây dựng tài sản có định và các tài sản dài hạn khác > Tổng cộng",Tổng cộng,(2.993.223.973.872),(3.386.260.534.939),-2993223973872.0,-3386260534939.0
Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,,
Tiền chi đầu tư vào công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,(13.695.202.258.008),(12.857.011.549.842),-13695202258008.0,-12857011549842.0
Tiền chi mua cổ phần/góp vốn vào các công ty khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các công ty khác,Tiền chi mua cổ phần/góp vốn vào các công ty khác,(8.441.695.372.100),(2.538.687.013.589),-8441695372100.0,-2538687013589.0
Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,-,(3.423.954.604.750),,-3423954604750.0
Tổng cộng,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(22.136.897.630.108),(18.819.653.168.181),-22136897630108.0,-18819653168181.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,4.944.982.800.218,8.599.646.043.230,4944982800218.0,8599646043230.0
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,282.183.867.442,860.514.542.712,282183867442.0,860514542712.0
Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,12.335.985.885.006,1.733.000.000.000,12335985885006.0,1733000000000.0
Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,233.333.333.335,3.922.464.194.153,233333333335.0,3922464194153.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,17.796.485.886.001,15.115.624.780.095,17796485886001.0,15115624780095.0
