row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
-,-,-,412.000.000.000,412000000000.0
3.047.691.020,3.047.691.020,3.047.691.020,83.438.856,83438856.0
31.748.517.108,31.748.517.108,31.748.517.108,1.216.768.929,1216768929.0
-,-,-,478.712.640,478712640.0
9.493.033.629,9.493.033.629,9.493.033.629,446.499.275.228,446499275228.0
908.175.814,908.175.814,908.175.814,500.942.851,500942851.0
-,-,-,6.754.348.053,6754348053.0
-,-,-,810.514.542.712,810514542712.0
267.183.867.442,267.183.867.442,267.183.867.442,-,
-,267.183.867.442 > -,-,51.730.000,51730000.0
315.942.799.436,315.942.799.436,315.942.799.436,-,
-,315.942.799.436 > -,-,1.733.000.000.000,1733000000000.0
38.225.039.413,315.942.799.436 > 38.225.039.413,38.225.039.413,33.048.380,33048380.0
13.360.612.935,315.942.799.436 > 13.360.612.935,13.360.612.935,102.775.719.048,102775719048.0
760.350.600,315.942.799.436 > 760.350.600,760.350.600,258.716.023,258716023.0
34.636.276.001,34.636.276.001,34.636.276.001,-,
189.918.412.990,34.636.276.001 > 189.918.412.990,189.918.412.990,133.891.834.453,133891834453.0
683.297.861.369,683.297.861.369,683.297.861.369,-,
7.221.777.170,7.221.777.170,7.221.777.170,-,
9.325.363.296,7.221.777.170 > 9.325.363.296,9.325.363.296,2.776.300.654,2776300654.0
3.481.725.000,3.481.725.000,3.481.725.000,-,
461.160.523.911,3.481.725.000 > 461.160.523.911,461.160.523.911,602.605.417.798,602605417798.0
2.069.712.027.134,3.481.725.000 > 2.069.712.027.134,2.069.712.027.134,4.253.440.795.625,4253440795625.0
