row_label_raw,row_label_full,col_0,Don vị tính:VND,Don vị tính:VND_1,numeric__Don vị tính:VND,numeric__Don vị tính:VND_1
,,,Năm nay,Năm trước,,
Chi phí hình thành bất động sản trong kỳ,Chi phí hình thành bất động sản trong kỳ,Chi phí hình thành bất động sản trong kỳ,6.082.939.309.510,730.548.865.044,6082939309510.0,730548865044.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,315.247.207.150,374.913.844.985,315247207150.0,374913844985.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,76.253.023.140,32.696.324.502,76253023140.0,32696324502.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,415.056.702.547,326.193.476.136,415056702547.0,326193476136.0
Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),171.606.277.642,223.943.092.027,171606277642.0,223943092027.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,7.061.102.519.989,1.688.295.602.694,7061102519989.0,1688295602694.0
