row_label_raw,row_label_full,Tên đơn vị,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty Thành phố Xanh (i),Công ty Thành phố Xanh (i),Công ty Thành phố Xanh (i),-,663.181.818.182,,663181818182.0
Công ty BDS Thăng Long (Thuyết minh số 17.1 – (xv)),Công ty BDS Thăng Long (Thuyết minh số 17.1 – (xv)),Công ty BDS Thăng Long (Thuyết minh số 17.1 – (xv)),-,167.500.000.000,,167500000000.0
Công ty Cổ phần Bê tông Ngoại thương (ii),Công ty Cổ phần Bê tông Ngoại thương (ii),Công ty Cổ phần Bê tông Ngoại thương (ii),-,15.300.000.000,,15300000000.0
"Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (iii)","Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (iii)","Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (iii)",-,519.232.500.000,,519232500000.0
"Công ty Cổ phần Thời trang M.Y.M (""Công ty M.Y.M"") (iv)","Công ty Cổ phần Thời trang M.Y.M (""Công ty M.Y.M"") (iv)","Công ty Cổ phần Thời trang M.Y.M (""Công ty M.Y.M"") (iv)",-,117.000.000.000,,117000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,1.482.214.318.182,,1482214318182.0
