row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,3.768.971.356.079,976.176.934.312,3768971356079.0,976176934312.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,2.689.189.217.323,47.680.881.367,2689189217323.0,47680881367.0
Doanh thu cung cấp dịch vụ quản lý và dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ quản lý và dịch vụ khác,Doanh thu cung cấp dịch vụ quản lý và dịch vụ khác,1.008.528.627.383,776.711.485.486,1008528627383.0,776711485486.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,71.253.511.373,151.784.567.459,71253511373.0,151784567459.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,3.768.971.356.079,976.176.934.312,3768971356079.0,976176934312.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,2.763.698.279.532,99.071.210.519,2763698279532.0,99071210519.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,1.005.273.076.547,877.105.723.793,1005273076547.0,877105723793.0
