row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 32.3),Ngắn hạn > Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 32.3),Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 32.3),9.794.053.910.481,11.426.570.752.092,9794053910481.0,11426570752092.0
Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 32.3),Ngắn hạn > Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 32.3),Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 32.3),39.000.000.000,-,39000000000.0,
Các khoản cho các bên khác vay dài hạn đến hạn thu hồi,Ngắn hạn > Các khoản cho các bên khác vay dài hạn đến hạn thu hồi,Các khoản cho các bên khác vay dài hạn đến hạn thu hồi,-,987.111.564.022,,987111564022.0
Các khoản cho vay khác (i),Ngắn hạn > Các khoản cho vay khác (i),Các khoản cho vay khác (i),83.077.886.534,83.077.886.534,83077886534.0,83077886534.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,9.916.131.797.015,12.496.760.202.648,9916131797015.0,12496760202648.0
Dự phòng phải thu về cho vay khó đòi,Ngắn hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(24.923.365.963),(64.733.973.448),-24923365963.0,-64733973448.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 32.3),Dài hạn > Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 32.3),Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 32.3),2.704.370.400.000,11.080.841.666.667,2704370400000.0,11080841666667.0
Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,Dài hạn > Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,(39.000.000.000),-,-39000000000.0,
Các khoản cho các bên khác vay dài hạn (ii),Dài hạn > Các khoản cho các bên khác vay dài hạn (ii),Các khoản cho các bên khác vay dài hạn (ii),55.000.000.000,1.042.111.564.022,55000000000.0,1042111564022.0
Trong đó: các khoản cho các bên khác vay dài hạn đến hạn thu hồi,Dài hạn > Trong đó: các khoản cho các bên khác vay dài hạn đến hạn thu hồi,Trong đó: các khoản cho các bên khác vay dài hạn đến hạn thu hồi,-,(987.111.564.022),,-987111564022.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.720.370.400.000,11.135.841.666.667,2720370400000.0,11135841666667.0
