row_label_raw,row_label_full,col_0,Số lượng,Số cuối năm > Tỷ lệ biểu quyết(%),Số cuối năm > Tỷ lệ sở hữu(%),Số cuối năm > Giá trị (VND),Số đầu năm > Số lượng,Số đầu năm > Tỷ lệ biểu quyết(%),Số đầu năm > Tỷ lệ sở hữu(%),Số đầu năm > Giá trị (VND),numeric__Số lượng,numeric__Số cuối năm > Tỷ lệ biểu quyết(%),numeric__Số cuối năm > Tỷ lệ sở hữu(%),numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Tỷ lệ biểu quyết(%),numeric__Số đầu năm > Tỷ lệ sở hữu(%),numeric__Số đầu năm > Giá trị (VND)
Công ty Có phần Truyền thông Thanh niên,Công ty Có phần Truyền thông Thanh niên,Công ty Có phần Truyền thông Thanh niên,400.000,"3,87","3,87",12.400.000.000,400.000,"3,87","3,87",12.400.000.000,400000.0,3.87,3.87,12400000000.0,400000.0,3.87,3.87,12400000000.0
Tổng Công ty Đệt may Việt Nam,Tổng Công ty Đệt may Việt Nam,Tổng Công ty Đệt may Việt Nam,50.000.000,"10,00","10,00",552.395.000.000,50.000.000,"10,00","10,00",552.395.000.000,50000000.0,10.0,10.0,552395000000.0,50000000.0,10.0,10.0,552395000000.0
Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,(**),"9,62","9,62",519.232.500.000,(**),-,-,-,,9.62,9.62,519232500000.0,,,,
Công ty M.Y.M,Công ty M.Y.M,Công ty M.Y.M,5.700.000,"19,00","19,00",57.000.000.000,-,-,-,-,5700000.0,19.0,19.0,57000000000.0,,,,
Công ty Quản lý BĐS Vinhomes,Công ty Quản lý BĐS Vinhomes,Công ty Quản lý BĐS Vinhomes,(**),"12,50","12,50",443.750.000.000,-,-,-,-,,12.5,12.5,443750000000.0,,,,
Công ty Vicentra,Công ty Vicentra,Công ty Vicentra,-,-,-,-,56.985.344,"19,00","19,00",1.749.495.515.345,,,,,56985344.0,19.0,19.0,1749495515345.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,56.100.000,,,1.584.777.500.000,107.385.344,,,2.314.290.515.345,56100000.0,,,1584777500000.0,107385344.0,,,2314290515345.0
