row_label_raw,row_label_full,Giá trị > Giá trị trái phiếu chuyển đổi ban đầu sau khi trừ đi chi phí phát hành,Số đầu năm > 106.300.000 > Giá trị trái phiếu chuyển đổi ban đầu sau khi trừ đi chi phí phát hành,Phát hành thêm > - > Giá trị trái phiếu chuyển đổi ban đầu sau khi trừ đi chi phí phát hành,Thay đổi trong năm > Đã chuyển thành cổ phiếu > (106.300.000) > Năm nay > 5.939.186.943.335,Thay đổi trong năm > Đã đáo hạn không được chuyển thành cổ phiếu > - > Đơn vị tính: VND > Năm trước > 5.939.186.943.335,Thay đổi trong năm > Số cuối năm > - > Đơn vị tính: VND > Năm trước > 5.939.186.943.335,numeric__Số đầu năm > 106.300.000 > Giá trị trái phiếu chuyển đổi ban đầu sau khi trừ đi chi phí phát hành,numeric__Phát hành thêm > - > Giá trị trái phiếu chuyển đổi ban đầu sau khi trừ đi chi phí phát hành,numeric__Thay đổi trong năm > Đã chuyển thành cổ phiếu > (106.300.000) > Năm nay > 5.939.186.943.335,numeric__Thay đổi trong năm > Đã đáo hạn không được chuyển thành cổ phiếu > - > Đơn vị tính: VND > Năm trước > 5.939.186.943.335,numeric__Thay đổi trong năm > Số cuối năm > - > Đơn vị tính: VND > Năm trước > 5.939.186.943.335
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,-,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,5.939.186.943.335,5.939.186.943.335,5.939.186.943.335,,,5939186943335.0,5939186943335.0,5939186943335.0
Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,Cộng: Giá trị phân bổ lũy kế chi phí phát hành,,,,,
Số đầu năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,295.037.817.247,162.522.147.579,162.522.147.579,,,295037817247.0,162522147579.0,162522147579.0
Số phân bổ tăng trong năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,13.600.239.418,132.515.669.668,132.515.669.668,,,13600239418.0,132515669668.0,132515669668.0
Số cuối năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,308.638.056.665,295.037.817.247,295.037.817.247,,,308638056665.0,295037817247.0,295037817247.0
Trừ: Chuyển đổi lũy kế đến cuối năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Trừ: Chuyển đổi lũy kế đến cuối năm,Trừ: Chuyển đổi lũy kế đến cuối năm,Trừ: Chuyển đổi lũy kế đến cuối năm,Trừ: Chuyển đổi lũy kế đến cuối năm,(6.270.000.000.000),(4.048.330.000.000),(4.048.330.000.000),,,-6270000000000.0,-4048330000000.0,-4048330000000.0
Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,-,182.189.341.667,182.189.341.667,,,,182189341667.0,182189341667.0
Cộng: Lỗ chênh lệch tỷ giá đã thực hiện đến cuối năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Cộng: Lỗ chênh lệch tỷ giá đã thực hiện đến cuối năm,Cộng: Lỗ chênh lệch tỷ giá đã thực hiện đến cuối năm,Cộng: Lỗ chênh lệch tỷ giá đã thực hiện đến cuối năm,Cộng: Lỗ chênh lệch tỷ giá đã thực hiện đến cuối năm,22.175.000.000,14.317.658.333,14.317.658.333,,,22175000000.0,14317658333.0,14317658333.0
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Giá trị phân bổ lũy kế chi phí phát hành > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,-,2.382.401.760.582,2.382.401.760.582,,,,2382401760582.0,2382401760582.0
