row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,numeric__Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,numeric__Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),21.602.454.000.000,21.602.454.000.000,21.602.454.000.000,13.577.350.000.000,13.577.350.000.000,13.577.350.000.000,21602454000000.0,21602454000000.0,21602454000000.0,13577350000000.0,13577350000000.0,13577350000000.0
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),21.602.454.000.000,21.602.454.000.000,21.602.454.000.000,13.577.350.000.000,13.577.350.000.000,13.577.350.000.000,21602454000000.0,21602454000000.0,21602454000000.0,13577350000000.0,13577350000000.0,13577350000000.0
(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại Thuyết minh số 04.,,,,,,
b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,b) Đầu tư tài chính dài hạn > Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,58.000.000.000,53.019.500.678,53.019.500.678,58.000.000.000,56.592.703.133,56.592.703.133,58000000000.0,53019500678.0,53019500678.0,58000000000.0,56592703133.0,56592703133.0
Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,b) Đầu tư tài chính dài hạn > Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,Đầu tư vào Công ty liên doanhCông ty TNHH Kích nhiên liệu Giao thông vận tải PVGazprom,58.000.000.000,53.019.500.678,53.019.500.678,58.000.000.000,56.592.703.133,56.592.703.133,58000000000.0,53019500678.0,53019500678.0,58000000000.0,56592703133.0,56592703133.0
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,b) Đầu tư tài chính dài hạn > Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,50.000.000.000,(50.000.000.000),-,50.000.000.000,(50.000.000.000),-,50000000000.0,-50000000000.0,,50000000000.0,-50000000000.0,
Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,b) Đầu tư tài chính dài hạn > Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,25.000.000.000,(25.000.000.000),-,25.000.000.000,(25.000.000.000),-,25000000000.0,-25000000000.0,,25000000000.0,-25000000000.0,
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,b) Đầu tư tài chính dài hạn > Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Công ty Cổ phần Đầu tư Phát triển Gas đô thị (ii),b) Đầu tư tài chính dài hạn > Công ty Cổ phần Đầu tư Phát triển Gas đô thị (ii),Công ty Cổ phần Đầu tư Phát triển Gas đô thị (ii),-,-,-,24.120.000.000,-,37.520.000.000,,,,24120000000.0,,37520000000.0
Đơn vị khác,b) Đầu tư tài chính dài hạn > Đơn vị khác,Đơn vị khác,-,-,-,1.920.000.000,-,1.920.000.000,,,,1920000000.0,,1920000000.0
,,,85.000.000.000,(75.000.000.000),10.000.000.000,111.040.000.000,(75.000.000.000),49.440.000.000,85000000000.0,-75000000000.0,10000000000.0,111040000000.0,-75000000000.0,49440000000.0
