row_label_raw,row_label_full,CHỈ TIÊU,Mã số minh,Mã số minh_1,Năm nay,Năm trước,numeric__Mã số minh,numeric__Mã số minh_1,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,75.976.345.569.671,64.830.157.981.142,1.0,,75976345569671.0,64830157981142.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,364.799.330.259,307.717.004.908,2.0,,364799330259.0,307717004908.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,29,75.611.546.239.412,64.522.440.976.234,10.0,29.0,75611546239412.0,64522440976234.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,30,58.120.227.682.208,49.359.543.140.142,11.0,30.0,58120227682208.0,49359543140142.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,17.491.318.557.204,15.162.897.836.092,20.0,,17491318557204.0,15162897836092.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,1.476.548.445.639,1.272.001.039.845,21.0,31.0,1476548445639.0,1272001039845.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,616.615.024.877,429.584.038.709,22.0,32.0,616615024877.0,429584038709.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,440.018.194.452,280.095.523.887,23.0,,440018194452.0,280095523887.0
"8. Phăn (lỗ) trong công ty liên doanh, liên kết","8. Phăn (lỗ) trong công ty liên doanh, liên kết","8. Phăn (lỗ) trong công ty liên doanh, liên kết",24,,(3.573.202.455),(874.150.755),24.0,,-3573202455.0,-874150755.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,33,2.638.679.383.447,2.426.235.182.000,25.0,33.0,2638679383447.0,2426235182000.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33,1.127.931.765.213,1.109.174.582.069,26.0,33.0,1127931765213.0,1109174582069.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,14.581.067.626.851,12.469.030.922.404,30.0,,14581067626851.0,12469030922404.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,39.088.905.640,163.295.930.879,31.0,34.0,39088905640.0,163295930879.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,80.234.601.606,44.289.254.806,32.0,35.0,80234601606.0,44289254806.0
14. (Lỗ)/Lợi nhuận khác (40=31-32),14. (Lỗ)/Lợi nhuận khác (40=31-32),14. (Lỗ)/Lợi nhuận khác (40=31-32),40,,(41.145.695.966),119.006.676.073,40.0,,-41145695966.0,119006676073.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,14.539.921.930.885,12.588.037.598.477,50.0,,14539921930885.0,12588037598477.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,2.778.439.374.778,2.618.775.027.875,51.0,36.0,2778439374778.0,2618775027875.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,52.917.076.131,31.470.022.129,52.0,,52917076131.0,31470022129.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,11.708.565.479.976,9.937.792.548.473,60.0,,11708565479976.0,9937792548473.0
18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,61,,11.453.968.895.042,9.684.863.896.268,61.0,,11453968895042.0,9684863896268.0
18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,254.596.584.934,252.928.652.205,62.0,,254596584934.0,252928652205.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,37,,4.925,70.0,37.0,,4925.0
Đặng Thị Hồng Yên Người lập biểu,Đặng Thị Hồng Yên Người lập biểu,Đặng Thị Hồng Yên Người lập biểu,Trần Thị Hoàng AnhPhó Ban Kế toán phụ trách công tác kế toán,Trần Thị Hoàng AnhPhó Ban Kế toán phụ trách công tác kế toán,Dương Mạnh SơnTổng Giám đốc,Dương Mạnh SơnTổng Giám đốc,,,,
