row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C. NỘ PHẢI TRÀ,C. NỘ PHẢI TRÀ,C. NỘ PHẢI TRÀ,300,,15.747.295.132.679,18.617.834.577.626,300.0,,15747295132679.0,18617834577626.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,11.846.614.031.313,10.911.813.704.191,310.0,,11846614031313.0,10911813704191.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,19,2.663.844.385.208,2.324.292.611.578,311.0,19.0,2663844385208.0,2324292611578.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,237.513.454.863,204.413.210.666,312.0,,237513454863.0,204413210666.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,20,759.700.530.897,1.120.506.288.467,313.0,20.0,759700530897.0,1120506288467.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,188.077.461.797,174.976.729.026,314.0,,188077461797.0,174976729026.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,21,5.488.545.648.029,4.428.629.421.215,315.0,21.0,5488545648029.0,4428629421215.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,1.481.038.533,9.400.833.144,318.0,,1481038533.0,9400833144.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,22,658.389.914.253,676.947.707.771,319.0,22.0,658389914253.0,676947707771.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,23,1.489.867.272.234,1.737.699.131.097,320.0,23.0,1489867272234.0,1737699131097.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,359.194.325.499,234.947.771.227,322.0,,359194325499.0,234947771227.0
II.Nợ dài hạn,II.Nợ dài hạn,II.Nợ dài hạn,330,,3.900.681.101.366,7.706.020.873.435,330.0,,3900681101366.0,7706020873435.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,,23.328.790.844,24.192.820.136,336.0,,23328790844.0,24192820136.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,22,247.137.862.278,208.265.650.343,337.0,22.0,247137862278.0,208265650343.0
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,338,23,3.395.742.808.039,7.311.935.862.404,338.0,23.0,3395742808039.0,7311935862404.0
4. Thuế thu nhập hoãn lại phải trả,4. Thuế thu nhập hoãn lại phải trả,4. Thuế thu nhập hoãn lại phải trả,341,25,168.503.666.569,117.752.999.916,341.0,25.0,168503666569.0,117752999916.0
5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,342,24,45.337.438.542,23.526.331.752,342.0,24.0,45337438542.0,23526331752.0
6. Quỹ phát triển khoa học và công nghệ,6. Quỹ phát triển khoa học và công nghệ,6. Quỹ phát triển khoa học và công nghệ,343,,20.630.535.094,20.347.208.884,343.0,,20630535094.0,20347208884.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,46.867.125.112.614,43.271.508.764.811,400.0,,46867125112614.0,43271508764811.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,26,46.867.125.112.614,43.271.508.764.811,410.0,26.0,46867125112614.0,43271508764811.0
