row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Trafigura Pte Ltd.,Trafigura Pte Ltd.,Trafigura Pte Ltd.,464.518.162.476,464.518.162.476,-,-,464518162476.0,464518162476.0,,
Công ty Cổ phần Lộc hóa dầu Binh Sơn (trước đây là Công ty TNHH MTV Lộc hóa dầu Binh Sơn),Công ty Cổ phần Lộc hóa dầu Binh Sơn (trước đây là Công ty TNHH MTV Lộc hóa dầu Binh Sơn),Công ty Cổ phần Lộc hóa dầu Binh Sơn (trước đây là Công ty TNHH MTV Lộc hóa dầu Binh Sơn),464.717.487.091,464.717.487.091,608.550.054.778,608.550.054.778,464717487091.0,464717487091.0,608550054778.0,608550054778.0
Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,453.970.562.375,453.970.562.375,562.662.478.050,562.662.478.050,453970562375.0,453970562375.0,562662478050.0,562662478050.0
"Petredec International Pte., Ltd.","Petredec International Pte., Ltd.","Petredec International Pte., Ltd.",183.416.461.318,183.416.461.318,180.733.845.023,180.733.845.023,183416461318.0,183416461318.0,180733845023.0,180733845023.0
Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,172.169.591.633,172.169.591.633,228.292.614.176,228.292.614.176,172169591633.0,172169591633.0,228292614176.0,228292614176.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,108.093.930.612,108.093.930.612,81.247.895.225,81.247.895.225,108093930612.0,108093930612.0,81247895225.0,81247895225.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,92.293.519.979,92.293.519.979,65.206.511.626,65.206.511.626,92293519979.0,92293519979.0,65206511626.0,65206511626.0
E1 Corporation,E1 Corporation,E1 Corporation,62.257.355.388,62.257.355.388,87.067.468.613,87.067.468.613,62257355388.0,62257355388.0,87067468613.0,87067468613.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,662.407.314.336,662.407.314.336,510.531.744.087,510.531.744.087,662407314336.0,662407314336.0,510531744087.0,510531744087.0
,,,2.663.844.385.208,2.663.844.385.208,2.324.292.611.578,2.324.292.611.578,2663844385208.0,2663844385208.0,2324292611578.0,2324292611578.0
Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),934.860.763.797,934.860.763.797,1.073.332.238.217,1.073.332.238.217,934860763797.0,934860763797.0,1073332238217.0,1073332238217.0
