row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,19.139.500.000.000,189.746.727.266,255.851.956.264,(40.111.223.937),13.404.936.846.079,6.287.250.000,6.157.504.526.798,1.730.131.795.757,40.843.847.878.227,19139500000000.0,189746727266.0,255851956264.0,-40111223937.0,13404936846079.0,6287250000.0,6157504526798.0,1730131795757.0,40843847878227.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,9.684.863.896.268,252.928.652.205,9.937.792.548.473,,,,,,,9684863896268.0,252928652205.0,9937792548473.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,1.444.956.000.763,-,(1.444.956.000.763),-,-,,,,,1444956000763.0,,-1444956000763.0,,
"Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành","Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành","Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành",-,-,-,-,-,-,(226.885.514.467),(29.715.913.559),(256.601.428.026),,,,,,,-226885514467.0,-29715913559.0,-256601428026.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(7.079.387.859.000),(174.088.714.956),(7.253.476.573.956),,,,,,,-7079387859000.0,-174088714956.0,-7253476573956.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,-,(532.917.391),-,975.255,68.113,(2.107.099.041),2.585.313.157,(53.659.907),,,-532917391.0,,975255.0,68113.0,-2107099041.0,2585313157.0,-53659907.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.139.500.000.000,189.746.727.266,255.319.038.873,(40.111.223.937),14.849.893.822.097,6.287.318.113,7.089.031.949.795,1.781.841.132.604,43.271.508.764.811,19139500000000.0,189746727266.0,255319038873.0,-40111223937.0,14849893822097.0,6287318113.0,7089031949795.0,1781841132604.0,43271508764811.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,11.453.968.895.042,254.596.584.934,11.708.565.479.976,,,,,,,11453968895042.0,254596584934.0,11708565479976.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,12.236.200.232,-,(12.236.200.232),-,-,,,,,12236200232.0,,-12236200232.0,,
Bán cổ phiếu quỹ (i),Bán cổ phiếu quỹ (i),Bán cổ phiếu quỹ (i),-,20.932.814.031,-,40.111.223.937,-,-,-,-,61.044.037.968,,20932814031.0,,40111223937.0,,,,,61044037968.0
"Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành","Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành","Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành",-,-,-,-,-,-,(276.123.034.294),(32.299.940.751),(308.422.975.045),,,,,,,-276123034294.0,-32299940751.0,-308422975045.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(7.655.800.000.000),(209.717.996.998),(7.865.517.996.998),,,,,,,-7655800000000.0,-209717996998.0,-7865517996998.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,-,-,-,-,-,(3.153.768),(49.044.330),(52.198.098),,,,,,,-3153768.0,-49044330.0,-52198098.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,19.139.500.000.000,210.679.541.297,255.319.038.873,-,14.862.130.022.329,6.287.318.113,10.598.838.456.543,1.794.370.735.459,46.867.125.112.614,19139500000000.0,210679541297.0,255319038873.0,,14862130022329.0,6287318113.0,10598838456543.0,1794370735459.0,46867125112614.0
