row_label_raw,row_label_full,col_0,Khẩu hao tài sản cố định và các khoản dự phòng VND,Lợi nhuận chưa thực hiện VND,Tổng cộng VND,numeric__Khẩu hao tài sản cố định và các khoản dự phòng VND,numeric__Lợi nhuận chưa thực hiện VND,numeric__Tổng cộng VND
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,16.047.657.069,34.038.368.811,50.086.025.880,16047657069.0,34038368811.0,50086025880.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,3.466.961.814,6.112.901.681,9.579.863.495,3466961814.0,6112901681.0,9579863495.0
Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,-,(13.524.122.859),(13.524.122.859),,-13524122859.0,-13524122859.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,19.514.618.883,26.627.147.633,46.141.766.516,19514618883.0,26627147633.0,46141766516.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,(1.806.314.720),(360.094.757),(2.166.409.477),-1806314720.0,-360094757.0,-2166409477.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,17.708.304.163,26.267.052.876,43.975.357.039,17708304163.0,26267052876.0,43975357039.0
