row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.382.883.482.530,5.963.635.330.231,767.062.618.725,324.485.530.640,30.618.439.094.087,44.056.506.056.213,6382883482530.0,5963635330231.0,767062618725.0,324485530640.0,30618439094087.0,44056506056213.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.712.834.482.507,4.058.448.308.645,87.610.813.607,-,-,5.858.893.604.759,1712834482507.0,4058448308645.0,87610813607.0,,,5858893604759.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,21.867.609.166,73.205.740.892,9.289.262.970,21.312.522.013,5.069.998.363,130.745.133.404,21867609166.0,73205740892.0,9289262970.0,21312522013.0,5069998363.0,130745133404.0
Chuyển sang từ Tài sản cố định thuệtài chính,NGUYÊN GIÁ > Chuyển sang từ Tài sản cố định thuệtài chính,Chuyển sang từ Tài sản cố định thuệtài chính,-,37.765.424.659,-,-,-,37.765.424.659,,37765424659.0,,,,37765424659.0
Tăng do sáp nhập,NGUYÊN GIÁ > Tăng do sáp nhập,Tăng do sáp nhập,350.175.249,2.701.264.557,-,-,88.587.545,3.140.027.351,350175249.0,2701264557.0,,,88587545.0,3140027351.0
Điều chỉnh theo Quyết toán dự ánhoàn thành,NGUYÊN GIÁ > Điều chỉnh theo Quyết toán dự ánhoàn thành,Điều chỉnh theo Quyết toán dự ánhoàn thành,55.910.701.556,(92.938.980.086),-,-,144.283.294,(36.883.995.236),55910701556.0,-92938980086.0,,,144283294.0,-36883995236.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(515.369.073),(10.670.498.619),(3.590.255.628),(249.604.416),(100.000.000),(15.125.727.736),-515369073.0,-10670498619.0,-3590255628.0,-249604416.0,-100000000.0,-15125727736.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(14.498.272.472),14.498.272.472,-,-,-,-,-14498272472.0,14498272472.0,,,,
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(3.731.514.356),(270.134.816),-,(1.360.511.400),-,(5.362.160.572),-3731514356.0,-270134816.0,,-1360511400.0,,-5362160572.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,8.155.101.295.107,10.046.374.727.935,860.372.439.674,344.187.936.837,30.623.641.963.289,50.029.678.362.842,8155101295107.0,10046374727935.0,860372439674.0,344187936837.0,30623641963289.0,50029678362842.0
