row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,85.422.690.878,1.521.235.000,86.943.925.878,85422690878.0,1521235000.0,86943925878.0
Chuyển sang Tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,(37.765.424.659),-,(37.765.424.659),-37765424659.0,,-37765424659.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,47.657.266.219,1.521.235.000,49.178.501.219,47657266219.0,1521235000.0,49178501219.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,48.658.989.683,1.521.235.000,50.180.224.683,48658989683.0,1521235000.0,50180224683.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,11.743.189.306,-,11.743.189.306,11743189306.0,,11743189306.0
Chuyển sang Tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,(32.768.844.515),-,(32.768.844.515),-32768844515.0,,-32768844515.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,27.633.334.474,1.521.235.000,29.154.569.474,27633334474.0,1521235000.0,29154569474.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,36.763.701.195,-,36.763.701.195,36763701195.0,,36763701195.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,20.023.931.745,-,20.023.931.745,20023931745.0,,20023931745.0
