row_label_raw,row_label_full,Tổng Công ty Điện lực Dầu khí Việt Nam,Số cuối nămVND > 639.274.563.146,Số đầu nămVND > 488.191.304,numeric__Số cuối nămVND > 639.274.563.146,numeric__Số đầu nămVND > 488.191.304
SK Gas Company Limited,SK Gas Company Limited,SK Gas Company Limited,456.081.140.625,564.602.647.380,456081140625.0,564602647380.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,309.810.080.209,286.067.009.451,309810080209.0,286067009451.0
Tổng Công ty Phân bón và Hoá chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hoá chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hoá chất Dầu khí - CTCP,234.392.662.645,-,234392662645.0,
Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,180.047.466.226,261.020.927.961,180047466226.0,261020927961.0
Công ty TNHH Gas Miền Trung,Công ty TNHH Gas Miền Trung,Công ty TNHH Gas Miền Trung,49.971.426.165,104.591.325.355,49971426165.0,104591325355.0
Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,-,803.471.517.266,,803471517266.0
Công ty TNHH MTV - Tổng Công ty Phát điện 3,Công ty TNHH MTV - Tổng Công ty Phát điện 3,Công ty TNHH MTV - Tổng Công ty Phát điện 3,-,255.359.655.541,,255359655541.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,2.768.604.245.274,2.664.323.281.623,2768604245274.0,2664323281623.0
,,,4.638.181.584.290,4.939.924.555.881,4638181584290.0,4939924555881.0
Phải thu ngắn hạn khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 40),Phải thu ngắn hạn khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 40),Phải thu ngắn hạn khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 40),1.367.432.767.399,707.148.637.513,1367432767399.0,707148637513.0
