row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,40.932.012.643.396,38.256.957.853.411,,100.0,,40932012643396.0,38256957853411.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,6.705.645.460.007,13.502.016.964.678,,110.0,4.0,6705645460007.0,13502016964678.0
I.,I.,I.,1. Tiền,111,,1.330.220.087.809,1.729.822.059.995,,111.0,,1330220087809.0,1729822059995.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,5.375.425.372.198,11.772.194.904.683,,112.0,,5375425372198.0,11772194904683.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,21.602.454.000.000,13.577.350.000.000,,120.0,5.0,21602454000000.0,13577350000000.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,21.602.454.000.000,13.577.350.000.000,,123.0,,21602454000000.0,13577350000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,10.213.710.624.435,9.174.883.054.445,,130.0,,10213710624435.0,9174883054445.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,6,4.638.181.584.290,4.939.924.555.881,,131.0,6.0,4638181584290.0,4939924555881.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,7,91.011.400.518,155.519.627.817,,132.0,7.0,91011400518.0,155519627817.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,8,5.773.843.457.749,4.344.161.903.788,,136.0,8.0,5773843457749.0,4344161903788.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(290.002.813.032),(265.538.086.194),,137.0,9.0,-290002813032.0,-265538086194.0
III.,III.,III.,5. Tài sản thiếu chờ xử lý,139,,676.994.910,815.053.153,,139.0,,676994910.0,815053153.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.948.260.051.377,1.645.375.601.834,,140.0,10.0,1948260051377.0,1645375601834.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,2.018.155.350.298,1.737.552.213.440,,141.0,,2018155350298.0,1737552213440.0
IV.,IV.,IV.,2. Dự phòng giảm giá hàng tồn kho,149,,(69.895.298.921),(92.176.611.606),,149.0,,-69895298921.0,-92176611606.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,461.942.507.577,357.332.232.454,,150.0,,461942507577.0,357332232454.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,11,103.518.806.266,83.898.716.638,,151.0,11.0,103518806266.0,83898716638.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,299.938.138.296,222.926.464.886,,152.0,,299938138296.0,222926464886.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,20,58.485.563.015,50.507.050.930,,153.0,20.0,58485563015.0,50507050930.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,21.682.407.601.897,23.632.385.489.026,,200.0,,21682407601897.0,23632385489026.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,216.829.039.491,188.768.857.198,,210.0,,216829039491.0,188768857198.0
I.,I.,I.,1. Trả trước cho người bán dài hạn,212,7,67.561.613.929,62.322.571.154,,212.0,7.0,67561613929.0,62322571154.0
I.,I.,I.,2. Phải thu dài hạn khác,216,8,149.267.425.562,126.446.286.044,,216.0,8.0,149267425562.0,126446286044.0
II.,II.,II.,Tài sản cố định,220,,18.609.210.697.766,15.395.529.375.231,,220.0,,18609210697766.0,15395529375231.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,12,18.149.000.448.519,14.924.790.039.660,,221.0,12.0,18149000448519.0,14924790039660.0
II.,II.,II.,- Nguyên giá,222,,50.029.678.362.842,44.056.506.056.213,,222.0,,50029678362842.0,44056506056213.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(31.880.677.914.323),(29.131.716.016.553),,223.0,,-31880677914323.0,-29131716016553.0
II.,II.,II.,2. Tài sản cố định thuê tài chính,224,13,20.023.931.745,36.763.701.195,,224.0,13.0,20023931745.0,36763701195.0
II.,II.,II.,- Nguyên giá,225,,49.178.501.219,86.943.925.878,,225.0,,49178501219.0,86943925878.0
II.,II.,II.,- Giá trị hao mòn lũy kế,226,,(29.154.569.474),(50.180.224.683),,226.0,,-29154569474.0,-50180224683.0
II.,II.,II.,3. Tài sản cố định vô hình,227,14,440.186.317.502,433.975.634.376,,227.0,14.0,440186317502.0,433975634376.0
II.,II.,II.,- Nguyên giá,228,,550.726.305.369,521.365.712.739,,228.0,,550726305369.0,521365712739.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(110.539.987.867),(87.390.078.363),,229.0,,-110539987867.0,-87390078363.0
III.,III.,III.,Bất động sản đầu tư,230,,24.014.662.414,24.842.563.084,,230.0,,24014662414.0,24842563084.0
III.,III.,III.,- Nguyên giá,231,,26.427.782.233,26.427.782.233,,231.0,,26427782233.0,26427782233.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(2.413.119.819),(1.585.219.149),,232.0,,-2413119819.0,-1585219149.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,1.235.198.326.718,6.571.784.154.041,,240.0,,1235198326718.0,6571784154041.0
IV.,IV.,IV.,1. Chi phí xây dựng cơ bản dở dang,242,15,1.235.198.326.718,6.571.784.154.041,,242.0,15.0,1235198326718.0,6571784154041.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,63.019.500.678,92.632.703.133,,250.0,5.0,63019500678.0,92632703133.0
V.,V.,V.,"1. Đầu tư vào công ty liên doanh, liên kết",252,,53.019.500.678,56.592.703.133,,252.0,,53019500678.0,56592703133.0
V.,V.,V.,2. Đầu tư góp vốn vào đơn vị khác,253,,85.000.000.000,111.040.000.000,,253.0,,85000000000.0,111040000000.0
V.,V.,V.,3. Dự phòng đầu tư tài chính dài hạn,254,,(75.000.000.000),(75.000.000.000),,254.0,,-75000000000.0,-75000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,1.534.135.374.830,1.358.827.836.339,,260.0,,1534135374830.0,1358827836339.0
VI.,VI.,VI.,1. Chi phí trả trước dài hạn,261,11,1.324.485.607.020,1.077.254.012.412,,261.0,11.0,1324485607020.0,1077254012412.0
VI.,VI.,VI.,2. Tài sản thuê thu nhập hoãn lại,262,16,43.975.357.039,46.141.766.516,,262.0,16.0,43975357039.0,46141766516.0
VI.,VI.,VI.,3. Lợi thể thương mại,269,18,165.674.410.771,235.432.057.411,,269.0,18.0,165674410771.0,235432057411.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,62.614.420.245.293,61.889.343.342.437,,270.0,,62614420245293.0,61889343342437.0
