row_label_raw,row_label_full,a) Quá hạn trên 3 năm,Số cuối năm > Giá gốcVND > 205.704.004.169,Số cuối năm > Giá trị có thể thu hồiVND > 1.443.384.555,Số đầu năm > Giá gốcVND > 147.184.756.037,Số đầu năm > Giá trị có thể thu hồiVND > 6.046.797.090,numeric__Số cuối năm > Giá gốcVND > 205.704.004.169,numeric__Số cuối năm > Giá trị có thể thu hồiVND > 1.443.384.555,numeric__Số đầu năm > Giá gốcVND > 147.184.756.037,numeric__Số đầu năm > Giá trị có thể thu hồiVND > 6.046.797.090
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,48.569.198.216,-,46.776.684.769,-,48569198216.0,,46776684769.0,
Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,46.789.648.142,-,-,-,46789648142.0,,,
Công ty TNHH MTV Kinh doanh Dầu khí Việt Hải,Công ty TNHH MTV Kinh doanh Dầu khí Việt Hải,Công ty TNHH MTV Kinh doanh Dầu khí Việt Hải,18.912.271.999,-,18.896.827.075,3.641.156.165,18912271999.0,,18896827075.0,3641156165.0
Công ty TNHH Gốm sứ Mỹ Xuân,Công ty TNHH Gốm sứ Mỹ Xuân,Công ty TNHH Gốm sứ Mỹ Xuân,11.296.297.196,-,11.296.297.196,-,11296297196.0,,11296297196.0,
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,9.906.135.711,-,-,-,9906135711.0,,,
Công ty Cổ phần Xây lắp Dầu khí 2,Công ty Cổ phần Xây lắp Dầu khí 2,Công ty Cổ phần Xây lắp Dầu khí 2,4.811.281.851,1.443.384.555,4.811.281.851,2.405.640.925,4811281851.0,1443384555.0,4811281851.0,2405640925.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,15.419.171.054,-,15.403.665.146,-,15419171054.0,,15403665146.0,
b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,96.718.539.188,29.914.928.040,84.396.488.960,25.318.946.687,96718539188.0,29914928040.0,84396488960.0,25318946687.0
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,73.272.262.529,21.981.678.759,-,-,73272262529.0,21981678759.0,,
Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,13.883.863.752,4.160.539.126,22.499.138.786,6.749.741.636,13883863752.0,4160539126.0,22499138786.0,6749741636.0
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,7.061.641.125,2.118.492.337,9.906.135.711,2.971.840.713,7061641125.0,2118492337.0,9906135711.0,2971840713.0
Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hoá dầu và Xơ sợi Dầu khí,-,-,47.089.648.142,14.126.894.441,,,47089648142.0,14126894441.0
Công ty TNHH Dầu tư Minh Quang,Công ty TNHH Dầu tư Minh Quang,Công ty TNHH Dầu tư Minh Quang,-,-,1.342.878.942,402.863.683,,,1342878942.0,402863683.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2.500.771.782,1.654.217.818,3.558.687.379,1.067.606.214,2500771782.0,1654217818.0,3558687379.0,1067606214.0
