row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2021,Đơn vị tính: VND 01/01/2021,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__Đơn vị tính: VND 01/01/2021
A,A,A,TÀI SẢN NGĂN HẠN,100,,1.051.554.696.239,1.088.547.420.049,,100.0,,1051554696239.0,1088547420049.0
I,I,I,Tiền và các khoản tương đương tiền,110,,49.555.449.156,31.887.647.482,,110.0,,49555449156.0,31887647482.0
1,1,1,Tiền,111,V.1.,49.555.449.156,31.887.647.482,,111.0,,49555449156.0,31887647482.0
II,II,II,Đầu tư tài chính ngắn hạn,120,,338.000.000.000,315.000.000.000,,120.0,,338000000000.0,315000000000.0
1,1,1,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.,338.000.000.000,315.000.000.000,,123.0,,338000000000.0,315000000000.0
III,III,III,Các khoản phải thu ngắn hạn,130,,421.076.171.188,477.373.179.504,,130.0,,421076171188.0,477373179504.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,62.276.423.502,113.026.683.448,,131.0,,62276423502.0,113026683448.0
2,2,2,Trả trước cho người bán ngắn hạn,132,V.4.,22.762.022.315,19.284.362.150,,132.0,,22762022315.0,19284362150.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,311.250.000.000,306.050.000.000,,135.0,,311250000000.0,306050000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,36.545.256.504,49.404.915.861,,136.0,,36545256504.0,49404915861.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(11.757.531.133),(10.392.781.955),,137.0,,-11757531133.0,-10392781955.0
IV,IV,IV,Hàng tồn kho,140,V.7.,238.946.848.636,256.640.994.303,,140.0,,238946848636.0,256640994303.0
1,1,1,Hàng tồn kho,141,,238.946.848.636,256.640.994.303,,141.0,,238946848636.0,256640994303.0
V,V,V,Tài sản ngắn hạn khác,150,,3.976.227.259,7.645.598.760,,150.0,,3976227259.0,7645598760.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.12.,3.976.227.259,7.645.598.760,,151.0,,3976227259.0,7645598760.0
B,B,B,TÀI SẢN DÀI HẠN,200,,2.464.857.676.253,2.488.610.685.638,,200.0,,2464857676253.0,2488610685638.0
I,I,I,Các khoản phải thu dài hạn,210,,1.692.084.000,1.692.084.000,,210.0,,1692084000.0,1692084000.0
1,1,1,Phải thu dài hạn khác,216,V.6.,1.692.084.000,1.692.084.000,,216.0,,1692084000.0,1692084000.0
II,II,II,Tài sản cố định,220,,24.317.067.091,26.295.448.311,,220.0,,24317067091.0,26295448311.0
1,1,1,Tài sản cố định hữu hình,221,V.9.,23.066.073.951,25.974.970.270,,221.0,,23066073951.0,25974970270.0
-,-,-,Nguyên giá,222,,43.327.825.101,43.391.461.465,,222.0,,43327825101.0,43391461465.0
-,-,-,Giá trị hao mòn luỹ kế,223,,(20.261.751.150),(17.416.491.195),,223.0,,-20261751150.0,-17416491195.0
2,2,2,Tài sản cố định vô hình,227,V.8.,1.250.993.140,320.478.041,,227.0,,1250993140.0,320478041.0
-,-,-,Nguyên giá,228,,3.634.471.346,1.884.471.346,,228.0,,3634471346.0,1884471346.0
-,-,-,Giá trị hao mòn luỹ kế,229,,(2.383.478.206),(1.563.993.305),,229.0,,-2383478206.0,-1563993305.0
III,III,III,Bất động sản đầu tư,230,,174.408.835.571,179.506.934.323,,230.0,,174408835571.0,179506934323.0
-,-,-,Nguyên giá,231,,225.108.875.092,225.108.875.092,,231.0,,225108875092.0,225108875092.0
-,-,-,Giá trị hao mòn luỹ kế,232,,(50.700.039.521),(45.601.940.769),,232.0,,-50700039521.0,-45601940769.0
IV,IV,IV,Tài sản dở dang dài hạn,240,V.11.,21.617.325.147,18.239.646.600,,240.0,,21617325147.0,18239646600.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,,21.617.325.147,18.239.646.600,,242.0,,21617325147.0,18239646600.0
V,V,V,Đầu tư tài chính dài hạn,250,V.2.,2.235.693.407.483,2.255.878.050.516,,250.0,,2235693407483.0,2255878050516.0
1,1,1,Đầu tư vào công ty con,251,,2.424.447.074.014,2.402.802.729.014,,251.0,,2424447074014.0,2402802729014.0
2,2,2,Dự phòng đầu tư tài chính dài hạn,254,,(188.753.666.531),(146.924.678.498),,254.0,,-188753666531.0,-146924678498.0
VI,VI,VI,Tài sản dài hạn khác,260,,7.128.956.961,6.998.521.888,,260.0,,7128956961.0,6998521888.0
1,1,1,Chi phí trả trước dài hạn,261,V.12.,7.128.956.961,6.998.521.888,,261.0,,7128956961.0,6998521888.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,3.516.412.372.492,3.577.158.105.687,,270.0,,3516412372492.0,3577158105687.0
